clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset100

clusterset101	7.87	0.0152514	regulation_of_gene_expression	AFF3;TSHZ2;TSHZ3
clusterset101	4.17	0.00403295	regulation_of_transcription,_DNA-templated	AFF3;ATXN1;HOXA1;HOXC5;PBX3;SOX4;TLE4

clusterset102

clusterset103	38.07	0.00040787	neuron_development	ASCL1;GABRB2;NEUROD4
clusterset103	23.31	2.29402e-05	neuron_differentiation	ASCL1;DRGX;LMX1B;NEUROD4;PHOX2B
clusterset103	22.12	0.00136633	neuron_migration	ASCL1;DRGX;PHOX2B
clusterset103	10.14	0.00650591	chemical_synaptic_transmission	GABRB2;NPFF;SLC6A2
clusterset103	4.86	0.0130576	G_protein-coupled_receptor_signaling_pathway	ADRA2A;ARHGEF6;NPFF;RAMP1
clusterset103	4.58	0.00427798	multicellular_organism_development	ASCL1;DRGX;EPAS1;LMX1B;NEUROD4;PHOX2B
clusterset103	4.42	0.0413629	nervous_system_development	ASCL1;DRGX;NEUROD4
clusterset103	3.84	0.0483612	ion_transport	CNGB1;GABRB2;GRIK3
clusterset103	3.68	0.00439661	regulation_of_transcription_by_RNA_polymerase_II	ASCL1;DRGX;EPAS1;LMX1B;NEUROD4;PHOX2B;POU3F4
clusterset103	3.57	0.00867336	regulation_of_transcription,_DNA-templated	DRGX;EPAS1;LMX1B;NEUROD4;PHOX2B;POU3F4
clusterset103	2.99	0.0483612	positive_regulation_of_transcription_by_RNA_polymerase_II	ASCL1;EPAS1;LMX1B;PHOX2B

clusterset104	54.81	2.54018e-09	positive_regulation_of_establishment_of_protein_localization_to_telomere	CCT3;CCT5;CCT6A;CCT7;CCT8;TCP1
clusterset104	49.83	4.98413e-09	positive_regulation_of_protein_localization_to_Cajal_body	CCT3;CCT5;CCT6A;CCT7;CCT8;TCP1
clusterset104	36.54	3.47138e-08	positive_regulation_of_telomerase_RNA_localization_to_Cajal_body	CCT3;CCT5;CCT6A;CCT7;CCT8;TCP1
clusterset104	33.22	4.37618e-10	proteasomal_ubiquitin-independent_protein_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6
clusterset104	31.97	7.11855e-09	mitochondrial_ATP_synthesis_coupled_proton_transport	ATP5F1A;ATP5F1C;ATP5F1D;ATP5MC2;ATP5PB;ATP5PO;STOML2
clusterset104	28.11	2.99781e-05	mitochondrial_electron_transport,_ubiquinol_to_cytochrome_c	UQCR11;UQCRB;UQCRC2;UQCRFS1
clusterset104	27.40	2.08313e-07	ATP_synthesis_coupled_proton_transport	ATP5F1A;ATP5F1C;ATP5F1D;ATP5MC2;ATP5PB;ATP5PO
clusterset104	24.59	4.10853e-08	oxidative_phosphorylation	ATP5F1C;ATP5F1D;COX4I1;COX5A;COX6B1;UQCRB;UQCRC2
clusterset104	23.28	3.17048e-13	regulation_of_cellular_amino_acid_metabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC5;PSMC6;PSMD13;PSMD14;SEM1
clusterset104	22.84	0.000670578	proteasome_assembly	POMP;PSMD13;SEM1
clusterset104	22.84	0.000670578	protein_neddylation	NEDD8;RBX1;UBE2M
clusterset104	22.84	5.62593e-14	negative_regulation_of_G2/M_transition_of_mitotic_cell_cycle	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC5;PSMC6;PSMD13;PSMD14;RBX1;SEM1
clusterset104	20.59	5.47482e-15	regulation_of_transcription_from_RNA_polymerase_II_promoter_in_response_to_hypoxia	ELOC;PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC5;PSMC6;PSMD13;PSMD14;RBX1;SEM1;UBA52
