clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	66.35	0.0001453	negative_regulation_of_collateral_sprouting	BCL11A;DCC;PTPRS
c1	66.35	0.0001453	negative_regulation_of_dendrite_development	BCL11A;DCC;FAT3
c1	38.70	0.000405509	mesonephros_development	BMP7;LHX1;ZBTB16
c1	33.65	8.37961e-06	synaptic_membrane_adhesion	LRFN5;NLGN1;NRG1;NTNG1;PTPRS
c1	27.32	0.000841734	neuron_fate_specification	NTRK3;POU3F2;POU4F1
c1	27.32	0.000841734	myelination_in_peripheral_nervous_system	NRG1;POU3F1;POU3F2
c1	25.80	0.000181932	retina_layer_formation	DSCAM;FAT3;LHX1;TFAP2A
c1	20.64	0.000318843	metanephros_development	BMP7;IRX1;IRX2;LHX1
c1	17.86	0.00246849	embryonic_pattern_specification	BMP7;LHX1;ZBTB16
c1	16.59	0.00267944	cell_development	BMP7;IRX1;IRX2
c1	16.01	0.00280867	regulation_of_NMDA_receptor_activity	DAPK1;GRIA4;NLGN1
c1	13.76	0.000946893	regulation_of_cell_differentiation	FGFR1;NRG1;POU3F2;TFAP2A
c1	13.58	0.000318843	synapse_organization	APBB2;LRRTM4;NLGN1;PPFIBP1;PTPRS
c1	12.90	0.00417394	embryonic_skeletal_system_development	HOXA6;HOXA9;HOXC6
c1	12.22	0.00473312	ureteric_bud_development	BMP7;LHX1;SLIT2
c1	11.47	0.000181932	positive_regulation_of_neuron_differentiation	BMP7;BRINP1;BRINP3;DMD;FGFR1;PCP4
c1	11.33	0.0057192	negative_chemotaxis	NRG1;SEMA6A;SLIT2
c1	10.56	0.00680093	negative_regulation_of_cell_cycle	BMP7;BRINP1;BRINP3
c1	10.32	0.00704566	embryonic_skeletal_system_morphogenesis	HOXA6;HOXA7;HOXA9
c1	9.83	0.00267706	synapse_assembly	DSCAM;NLGN1;NRG1;POU4F1
c1	9.68	0.000318843	anterior/posterior_pattern_specification	HOXA6;HOXA7;HOXA9;HOXC6;LHX1;ZBTB16
c1	9.48	0.00849404	positive_regulation_of_cell_adhesion	DUSP26;NRG1;VAV3
c1	9.38	0.00280867	negative_regulation_of_neuron_projection_development	BCL11A;DCC;PTPRG;PTPRS
c1	9.11	0.00926188	positive_regulation_of_MAP_kinase_activity	AKAP13;FGFR1;ROBO1
c1	8.93	0.00940885	inner_ear_morphogenesis	HMX2;MAFB;TFAP2A
c1	8.04	0.00416371	modulation_of_chemical_synaptic_transmission	NLGN1;NTNG1;PLCB4;PTPRS
c1	7.37	0.0142666	cellular_response_to_retinoic_acid	BRINP1;BRINP3;NTRK3
c1	6.93	0.0162061	negative_regulation_of_ERK1_and_ERK2_cascade	DMD;DUSP26;SEMA6A
c1	6.63	0.0174015	positive_regulation_of_kinase_activity	FGFR1;LMO4;NTRK3
c1	6.29	0.00346847	positive_regulation_of_neuron_projection_development	ADCYAP1;BCL11A;CAMK1D;DMD;NTRK3
c1	6.11	0.00191971	homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules	CDH8;DSCAM;FAT3;PCDH11X;PCDH8;ROBO1
c1	5.90	0.00940885	neuron_migration	DCC;FAT3;FGFR1;NTRK3
c1	5.60	0.000564912	axon_guidance	BMP7;DCC;DOK6;DSCAM;ROBO1;SEMA6A;SH3KBP1;SLIT2
c1	5.60	6.71269e-08	nervous_system_development	ADCYAP1;BRINP3;CAMK1D;DCC;DSCAM;FGF12;HMX2;LHX1;NLGN1;NRG1;NTNG1;NTRK3;PCSK2;POU3F2;POU4F1;RBFOX3;ROBO1;SEMA6A;SLIT2
c1	5.60	0.00267706	neuron_differentiation	DMD;IRX1;IRX2;LHX1;POU3F2;POU4F1
c1	5.40	0.0272475	ephrin_receptor_signaling_pathway	ANKS1A;NTRK3;VAV3
c1	5.20	0.0138823	transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	FGFR1;NRG1;NTRK3;PTPRG
c1	4.94	0.0329993	axonogenesis	DCC;NTNG1;POU4F1
c1	4.69	0.0174015	neuron_projection_development	ADCYAP1;GPRIN3;NLGN1;POU4F1
c1	4.69	0.0360087	regulation_of_membrane_potential	DMD;GLRA2;KCNMA1
c1	4.69	0.0360087	peptidyl-tyrosine_dephosphorylation	DUSP26;PTPRG;PTPRS
c1	4.58	0.00940885	cell-cell_signaling	ADCYAP1;FGF12;LHX1;PCDH8;SH3KBP1
c1	4.30	0.0228749	animal_organ_morphogenesis	BMP7;LHX1;NTNG1;SEMA6A
c1	4.26	0.0445329	negative_regulation_of_cell_migration	LIMCH1;ROBO1;SLIT2
c1	4.11	0.00153085	positive_regulation_of_apoptotic_process	AKAP13;BMP7;CAMK1D;DAPK1;KCNMA1;POU4F1;SLIT2;VAV3;ZBTB16
c1	4.10	0.0252722	cytoskeleton_organization	DMD;SEMA6A;SH3KBP1;WTIP
c1	4.06	0.00824838	chemical_synaptic_transmission	CDH8;DOC2B;FGF12;GLRA2;NLGN1;PCDH8
c1	3.51	3.31892e-06	multicellular_organism_development	BMP7;CDH8;DCC;EDIL3;FAT3;FGFR1;FSTL5;HMX2;HOXA6;HOXA7;HOXA9;HOXC6;HOXC8;KIF26B;LHX1;MAB21L1;NTNG1;NTRK3;POU4F1;ROBO1;SEMA6A;SLIT2;TENM4
c1	3.41	0.0248456	heart_development	AKAP13;FGF12;NRG1;NTRK3;POU4F1
c1	3.35	0.00407525	positive_regulation_of_gene_expression	BCL11A;BMP7;NRG1;NTRK3;POU3F1;POU4F1;RBMS3;ROBO1;TFAP2A
c1	3.24	0.0284468	cell_migration	FGFR1;NRG1;NTNG1;SH3KBP1;VAV3
c1	2.98	0.00346847	cell_adhesion	AATF;CDH8;DSCAM;EDIL3;FAT3;NLGN1;PCDH11X;PCDH8;PPFIBP1;PTPRS;ROBO1
c1	2.71	0.0162061	positive_regulation_of_cell_population_proliferation	ADCYAP1;DMD;FGFR1;HMX2;MAB21L1;NRG1;NTRK3;POU3F2
c1	2.59	0.0142666	negative_regulation_of_transcription,_DNA-templated	BEND5;BMP7;HOXA7;KCTD1;LHX1;NRG1;TFAP2A;WTIP;ZBTB16
c1	2.53	0.00346847	cell_differentiation	BMP7;DMD;FSTL5;HMX2;LHX1;NRG1;NTNG1;NTRK3;POU3F2;ROBO1;SEMA6A;SLIT2;SYT2;TENM4
c1	2.50	0.000450968	regulation_of_transcription,_DNA-templated	APBB2;DMD;HMX2;HOXA6;HOXA7;HOXA9;HOXC6;HOXC8;IRX1;IRX2;KLF12;LHX1;MAFB;NPAS3;POU3F1;POU3F2;POU4F1;TFAP2A;WTIP;ZBTB16;ZFHX4
c1	2.47	0.0329993	intracellular_signal_transduction	AKAP13;APBB2;DAPK1;GRIP1;NRG1;PLCB4;VAV3
c1	2.31	0.000791259	regulation_of_transcription_by_RNA_polymerase_II	AATF;BCL11A;HMX2;HOXA6;HOXA7;HOXA9;HOXC6;HOXC8;IRX1;IRX2;KLF12;LHX1;LMO4;MAFB;NPAS3;POU3F1;POU3F2;POU4F1;SATB1;TFAP2A;ZBTB16;ZFHX4
c1	2.09	0.0127037	positive_regulation_of_transcription_by_RNA_polymerase_II	AATF;ADCYAP1;BCL11A;BMP7;HOXA7;HOXA9;KLF12;LMO4;MAFB;NOS1;POU3F2;POU4F1;TFAP2A;ZBTB16
c1	2.09	0.0248456	negative_regulation_of_transcription_by_RNA_polymerase_II	BCL11A;DUSP26;HOXA7;IRX1;IRX2;KCTD1;KLF12;POU4F1;SATB1;TFAP2A;ZBTB16
c1	2.07	0.039764	positive_regulation_of_transcription,_DNA-templated	AATF;BMP7;LHX1;MAFB;NOS1;NPAS3;POU3F1;TFAP2A;ZBTB16

c2	9.92	0.0445473	apical_junction_assembly	CTNNA1;RHOC;VCL;WDR1
c2	9.92	0.0445473	antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_MHC_class_I,_TAP-independent	B2M;HLA-A;HLA-C;LNPEP
c2	8.82	0.0479449	cellular_response_to_leucine	RRAGD;SESN1;SESN2;UBR1
c2	6.62	0.0479449	maintenance_of_protein_location_in_nucleus	BBS4;CHCHD10;SUPT7L;TAF3;TOPORS
c2	2.80	0.0479449	macroautophagy	ATG5;BECN1;CHMP3;CSNK2A2;MVB12A;PLAA;PRKAB2;PRKAG2;SQSTM1;STAM2;TP53INP2;UBXN6;VPS4B
c2	2.56	0.0479449	cell_cycle_arrest	ATM;CDKN1A;CGRRF1;DDIT3;GADD45A;ILK;MAP2K1;MAPK12;MLF1;PPP1R15A;PRKAB2;PRKAG2;PRNP;RRAGC;RRAGD;UHMK1
