clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	18.78	0.0207084	response_to_xenobiotic_stimulus	GSS;RHBDD3;TIGAR
c1	15.65	0.00784291	negative_regulation_of_TORC1_signaling	ATM;FNIP1;SESN1;SESN2
c1	13.42	0.0338513	positive_regulation_of_DNA_damage_response,_signal_transduction_by_p53_class_mediator	ATM;SPRED1;SPRED3
c1	13.42	0.0338513	DNA_damage_response,_signal_transduction_by_p53_class_mediator	PPM1D;SESN2;TRIAP1
c1	12.52	0.0339098	definitive_hemopoiesis	CBFB;HOXB4;SP3
c1	11.74	0.0339098	regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	CFLAR;FAS;TNFRSF10B
c1	10.44	0.0207084	inactivation_of_MAPK_activity	DUSP14;DUSP3;SPRED1;SPRED3
c1	7.69	0.00513631	DNA_damage_response,_signal_transduction_by_p53_class_mediator_resulting_in_cell_cycle_arrest	ATM;BTG2;GADD45A;PCNA;PLK2;PLK3;TRIAP1
c1	5.40	0.036225	mRNA_3'-end_processing	CSTF3;PCF11;RPRD1A;SRSF1;SYMPK
c1	3.26	0.0339098	positive_regulation_of_I-kappaB_kinase/NF-kappaB_signaling	CFLAR;EDA2R;MIB2;PLK2;RHOC;S100A13;SLC20A1;TNFRSF10B;TRIM52
c1	1.99	0.038762	apoptotic_process	AEN;ATM;BCAP29;CFLAR;CIB1;DIDO1;FAM162A;FAS;GADD45A;IFI27L2;PERP;PHLDA2;PLK3;ROCK1;RRAGC;SQSTM1;TIGAR;TNFRSF10B;TRIAP1;ZMAT3

c2	33.73	9.92624e-05	axon_extension_involved_in_axon_guidance	ALCAM;NRP2;SEMA3A;SLIT2
c2	22.48	0.00665716	excitatory_chemical_synaptic_transmission	GRIN2B;GRIN2D;SHISA6
c2	20.61	1.35392e-10	embryonic_skeletal_system_development	HOXA3;HOXA5;HOXA6;HOXA9;HOXB5;HOXB6;HOXB9;HOXC6;HOXC9;HOXD9;SULF2
c2	19.06	6.12021e-12	embryonic_skeletal_system_morphogenesis	HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC9;HOXD9
c2	13.49	0.0168818	pulmonary_valve_morphogenesis	HEY1;ROBO2;SLIT2
c2	11.90	0.0174241	retinal_ganglion_cell_axon_guidance	ALCAM;ROBO2;SLIT2
c2	11.90	0.0174241	mammary_gland_alveolus_development	ERBB4;HOXA5;VEGFA
c2	11.90	0.0174241	negative_regulation_of_actin_filament_polymerization	FHOD3;MYADM;SLIT2
c2	11.70	6.12021e-12	anterior/posterior_pattern_specification	HEY1;HOXA3;HOXA4;HOXA5;HOXA6;HOXA7;HOXA9;HOXB5;HOXB6;HOXB7;HOXB8;HOXB9;HOXC6;HOXC9;HOXD9;LHX1;TSHZ1
c2	11.24	0.0185048	positive_regulation_of_branching_involved_in_ureteric_bud_morphogenesis	HOXB7;LHX1;VEGFA
c2	11.24	0.00893165	proximal/distal_pattern_formation	HOXA9;HOXB9;HOXC9;HOXD9
c2	10.65	0.0206491	N-glycan_processing	FUT8;MGAT4A;ST8SIA2
c2	9.64	0.014376	motor_neuron_axon_guidance	ALCAM;LHX1;SEMA3A;SLIT2
c2	9.20	0.028874	artery_morphogenesis	CHD7;LDLR;VEGFA
c2	8.99	0.0150408	metanephros_development	IRX1;IRX2;LHX1;ROBO2
