clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset29

clusterset30	13.57	0.00217009	positive_regulation_of_potassium_ion_transmembrane_transporter_activity	AKAP9;ANK2;ATP1B1;ATP1B2
clusterset30	12.21	0.0122347	protein_localization_to_microtubule_plus-end	MAPRE1;MAPRE2;MAPRE3
clusterset30	12.21	0.0122347	vocal_learning	CNTNAP2;NRXN1;NRXN2
clusterset30	11.63	0.00389299	regulation_of_synaptic_vesicle_priming	NAPB;RAB3A;STX1B;STXBP1
clusterset30	10.18	0.0185517	postsynaptic_density_protein_95_clustering	NLGN1;NRXN1;NRXN2
clusterset30	10.18	0.00168919	neuron_projection_maintenance	APP;ATP1A3;DCTN1;MAP1A;PRNP
clusterset30	10.18	4.36368e-06	regulation_of_microtubule_polymerization_or_depolymerization	CLASP2;MAPRE1;MAPRE2;MAPRE3;MAPT;STMN1;STMN2;STMN3;STMN4
clusterset30	10.18	0.0185517	glucocorticoid_receptor_signaling_pathway	ARID1A;CALR;YWHAH
clusterset30	10.18	0.000468017	negative_regulation_of_microtubule_polymerization	CLIP3;MAP2;MAPRE1;STMN1;STMN2;TUBB4A
clusterset30	9.05	0.00809154	postsynaptic_neurotransmitter_receptor_internalization	CALY;DNM1;DNM3;EPS15
clusterset30	9.05	0.00809154	postsynaptic_membrane_assembly	NLGN1;NLGN4X;NRXN1;NRXN2
clusterset30	9.05	0.00809154	synaptic_vesicle_clustering	NLGN1;NRXN1;PCLO;RAB3A
clusterset30	8.72	3.3305e-09	dendrite_morphogenesis	BTBD3;CDK5;CTNNA2;DCLK1;DCX;DTNBP1;ELAVL4;FYN;HPRT1;KIDINS220;MAP2;MAP6;RBFOX2;RERE;TMEM106B
clusterset30	8.72	0.00106461	protein_localization_to_synapse	ASIC2;CDK5;DLG4;NLGN1;NRXN1;PCLO
clusterset30	8.72	0.0243543	T-tubule_organization	ANK2;ATP2A2;BIN1
clusterset30	8.72	0.0243543	regulation_of_cell_cycle_arrest	BIN1;CDK5;SLC25A33
clusterset30	8.72	0.0243543	cytoplasmic_sequestering_of_NF-kappaB	G3BP2;PSMD10;TMSB4X
clusterset30	8.72	0.0243543	positive_regulation_of_cytoplasmic_translation	CNBP;DHX36;PKM
clusterset30	8.72	0.0243543	regulation_of_cardiac_muscle_cell_action_potential_involved_in_regulation_of_contraction	AKAP9;ATP2A2;CAMK2D
clusterset30	8.72	0.0243543	cellular_response_to_catecholamine_stimulus	GNAS;GNB1;GNG2
clusterset30	8.72	0.0243543	positive_regulation_of_potassium_ion_import_across_plasma_membrane	ATP1B1;ATP1B2;WNK3
clusterset30	8.72	0.0243543	positive_regulation_of_protein_localization_to_centrosome	APC;GSK3B;PARD6A
clusterset30	8.48	0.00373828	cell_communication_by_electrical_coupling_involved_in_cardiac_conduction	ATP1A1;ATP1A3;ATP1B1;ATP1B2;FKBP1B
clusterset30	8.14	0.0113427	regulation_of_microtubule-based_process	APC;CLASP2;GSK3B;KLHL42
clusterset30	7.63	0.0336143	response_to_isolation_stress	FADS1;HRAS;KRAS
clusterset30	7.63	0.0336143	regulation_of_cardiac_muscle_contraction_by_calcium_ion_signaling	ANK2;ATP1B1;ATP2A2
clusterset30	7.63	0.0336143	regulation_of_cell_communication_by_electrical_coupling_involved_in_cardiac_conduction	CALM1;CALM2;CAMK2D
clusterset30	7.50	0.000842846	cytoskeleton-dependent_intracellular_transport	CCDC88A;KIF1A;KIF1B;KIF5C;MAP6;TUBA1A;TUBB
clusterset30	7.40	0.0146213	protein_folding_in_endoplasmic_reticulum	CALR;CANX;HSP90B1;PDIA3
clusterset30	7.40	0.0146213	synaptic_vesicle_maturation	DLG4;RAB3A;STXBP1;SYP
clusterset30	7.27	0.00715614	microtubule_depolymerization	KIF2A;STMN1;STMN2;STMN3;STMN4
clusterset30	7.27	0.00715614	regulation_of_protein_kinase_A_signaling	AKAP12;PJA1;PJA2;PRKAR2A;PRKAR2B
clusterset30	7.08	0.000449309	synaptic_vesicle_exocytosis	CADPS;CDK5;PCLO;RAB3A;SNAP25;STX1B;SYT1;VAMP2
clusterset30	6.78	0.00353601	regulation_of_long-term_neuronal_synaptic_plasticity	APP;CAMK2B;DLG4;HRAS;KRAS;SYP
clusterset30	6.78	0.0185517	layer_formation_in_cerebral_cortex	CDK5;CDK5R1;DCX;PAFAH1B1
clusterset30	6.78	0.0433504	negative_regulation_of_cAMP-dependent_protein_kinase_activity	PKIA;PRKAR2A;PRKAR2B
clusterset30	6.78	0.00809154	organelle_organization	ATP2A2;CHGA;DTNBP1;KIF3A;KIF5C
clusterset30	6.78	0.0185517	establishment_or_maintenance_of_transmembrane_electrochemical_gradient	ATP1A1;ATP1A3;ATP1B1;ATP1B2
clusterset30	6.78	0.00809154	vocalization_behavior	CNTNAP2;DLG4;NLGN4X;NRXN1;NRXN2
clusterset30	6.78	0.0185517	regulation_of_microtubule_polymerization	CLASP2;MAP2;MAPRE3;MAPT
clusterset30	6.78	0.0433504	positive_regulation_of_stem_cell_proliferation	EPCAM;HNRNPU;SOX11
clusterset30	6.78	0.0433504	central_nervous_system_projection_neuron_axonogenesis	DCLK1;DCX;MYCBP2
clusterset30	6.78	0.000195243	canonical_glycolysis	ENO2;GPI;HK1;PFKM;PGAM1;PGK1;PGM2L1;PKM;TPI1
clusterset30	6.78	0.0185517	cellular_process	APP;GNAO1;MAP1B;TUBB
clusterset30	6.78	0.0433504	adenylate_cyclase-activating_dopamine_receptor_signaling_pathway	GNAS;GNB1;GNG2
clusterset30	6.63	3.34946e-14	SRP-dependent_cotranslational_protein_targeting_to_membrane	RPL12;RPL22;RPL23;RPL23A;RPL26;RPL27A;RPL28;RPL3;RPL30;RPL31;RPL34;RPL36;RPL37;RPL39;RPL41;RPL7;RPLP1;RPS10;RPS12;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS21;RPS27;RPS29;RPS3;RPS7
clusterset30	6.36	0.00974979	neuron_cell-cell_adhesion	CDK5R1;NLGN1;NLGN4X;NRXN1;NRXN2
clusterset30	6.36	0.00974979	regulation_of_sodium_ion_transmembrane_transporter_activity	FGF12;FXYD6;FXYD7;SCN3B;YWHAH
clusterset30	6.36	0.00974979	positive_regulation_of_sodium_ion_transport	ANK3;CNTN1;FGF12;SCN3B;WNK3
