clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	20.31	0.00596276	muscle_cell_differentiation	DMD;QKI;SYNE1
c1	20.31	0.00596276	inhibitory_synapse_assembly	GABRA2;GABRG2;LGI2
c1	15.23	0.010482	cyclic_nucleotide_biosynthetic_process	ADCY1;ADCY2;GUCY1A2
c1	9.03	0.010482	positive_regulation_of_axonogenesis	CHODL;METRN;NTRK2;SLIT2
c1	9.03	0.0272611	motor_neuron_axon_guidance	ALCAM;LHX1;SLIT2
c1	8.83	0.00596276	neurotransmitter_transport	GABRA2;ICA1;RIMS1;SLC32A1;SV2C
c1	8.78	0.0106707	regulation_of_neuron_projection_development	CHODL;CTNNA2;RGMA;SFRP2
c1	8.70	0.0287461	metanephros_development	IRX1;IRX2;LHX1
c1	8.64	0.00596276	cerebellum_development	ABAT;ATIC;GBX2;LHX1;SSTR2
c1	8.55	0.010904	heterophilic_cell-cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	ALCAM;IGSF21;NLGN1;TENM1
c1	8.46	0.00596276	cardiac_conduction	CACNA2D2;CACNA2D3;CACNB4;KCNIP4;KCNK1
c1	8.40	0.0288875	renal_water_homeostasis	ADCY1;ADCY2;TFAP2B
c1	7.38	0.00596276	cerebral_cortex_development	ATIC;BTBD3;DMD;NTRK2;TACC1;TACC2
c1	7.22	0.0181472	inner_ear_morphogenesis	CHD7;GBX2;MAFB;PAX2
c1	7.17	0.0382742	dendrite_morphogenesis	BTBD3;CTNNA2;SDC2
c1	7.06	0.0181472	regulation_of_postsynaptic_membrane_potential	GABRA2;GABRG2;GRIA1;GRIK3
c1	6.13	0.0272611	positive_regulation_of_synapse_assembly	ADGRB3;LRRN3;NLGN1;NTRK2
c1	5.24	0.0341088	regulation_of_insulin_secretion	CACNA2D2;ICA1;RFX3;TFAP2B
c1	4.46	0.0288875	axonogenesis	ADCY1;AFG3L2;CTNNA2;NRCAM;PAX2
c1	4.37	0.0290983	regulation_of_membrane_potential	DMD;GABRA2;GABRG2;GRIK3;RIMS1
c1	3.84	0.0181472	cytoskeleton_organization	CTNNA2;DMD;FGD4;SEMA6A;SYNE1;THY1;WASF3
c1	3.69	0.00596276	chemical_synaptic_transmission	CACNB4;DTNA;GABRA2;GABRG2;GAD2;GRIA1;NLGN1;SNCB;SST;SV2C
