clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset29	2.62	6.94635e-05	tRNA_methylation	ALKBH8;BCDIN3D;FTSJ1;GTPBP3;LCMT2;METTL2A;METTL2B;METTL6;MTO1;NSUN2;NSUN6;TARBP1;THADA;THUMPD2;TRDMT1;TRMO;TRMT10A;TRMT10B;TRMT12;TRMT13;TRMT1L;TRMT6;TRMT61A;TRMT61B;TRMT9B
clusterset29	2.23	0.0172626	tRNA_modification	AARS2;CDK5RAP1;CDKAL1;CTU1;CTU2;FTSJ1;GTPBP3;LCMT2;NSUN2;NSUN6;PUS3;QTRT2;TRDMT1;TRIT1;TRMT6;TRMT61A;TRMT9B;TRUB1;TYW5
clusterset29	2.13	0.00225733	phosphatidylinositol_phosphorylation	BPNT1;EFR3B;FAM126B;IMPA1;INPP1;IP6K1;IPMK;ITPKC;PI4K2A;PI4KA;PI4KB;PIK3C2B;PIK3CA;PIK3CB;PIK3R1;PIKFYVE;PIP4K2A;PIP4K2C;PIP5K1C;PIP5KL1;SMG1;SOCS1;SOCS2;SOCS4;SOCS5;SOCS6;SOCS7;TTC7B
clusterset29	2.07	0.0172626	endocytic_recycling	CCDC22;DENND1A;DENND1B;EHD1;EHD3;EIPR1;EPG5;GGA3;LMTK2;MICAL1;MICALL1;MICALL2;PTPN23;RAB11FIP3;RAB11FIP4;RAB35;SNX12;STX6;VPS26C;VPS35L;VPS50;VPS52;VPS53
clusterset29	1.98	6.94635e-05	tRNA_processing	ADAT1;CDK5RAP1;CDKAL1;CLP1;CTU1;CTU2;DUS2;DUS3L;DUS4L;ELP1;ELP3;FARS2;FTSJ1;GTPBP3;LCMT2;METTL2A;METTL2B;METTL6;MOCS3;MTO1;NAT10;NMNAT3;NSUN2;OSGEPL1;PTCD1;PUS3;PUSL1;QTRT2;RPP14;RPP21;RPP25;RPP40;RPUSD4;TRDMT1;TRIT1;TRMO;TRMT12;TRMT13;TRMT1L;TRMT6;TRMT61A;TRMT61B;TRMT9B;TRMU;TRNT1;TSEN15;TSEN2;TYW1;TYW5
clusterset29	1.94	0.0310159	protein_targeting_to_membrane	AQP11;ARL6;CACNG2;GOLGA7B;MICALL1;NACA;PIKFYVE;PRKCI;RAB3IP;RABGEF1;RTP5;TAOK2;VPS37A;VPS37B;VPS37D;ZDHHC14;ZDHHC15;ZDHHC18;ZDHHC20;ZDHHC21;ZDHHC22;ZDHHC3;ZDHHC6;ZDHHC7;ZDHHC9
clusterset29	1.79	0.0172626	phosphatidylinositol_biosynthetic_process	CDS1;DGKE;FIG4;IMPA1;INPP4A;INPP5E;INPP5J;INPP5K;MTMR1;MTMR12;MTMR2;MTMR3;MTMR6;MTMR7;OCRL;PI4K2A;PI4KA;PI4KB;PIK3C2B;PIK3CA;PIK3CB;PIK3R1;PIKFYVE;PIP4K2A;PIP4K2C;PIP5K1C;PITPNM1;PITPNM2;PITPNM3;PLEKHA8;SACM1L;SBF1;SLC27A1;SYNJ1;VAC14
clusterset29	1.60	0.00163299	autophagy	ACBD5;AMBRA1;ARSB;ATG10;ATG14;ATG16L1;ATG2A;ATG2B;ATG4A;ATG4C;ATG4D;ATG7;ATG9B;BECN1;C19orf12;C9orf72;CLEC16A;DEPP1;DRD2;EPG5;EPM2A;FUNDC1;GABARAP;GABARAPL2;HAP1;HDAC10;HDAC6;LGALS8;LRSAM1;MFN2;NPC1;PARK7;PIK3CB;PLEKHM1;PRKAA1;PRKAA2;RAB12;RAB24;RAB33B;RAB39B;RMC1;RNF166;RNF185;RNF41;RUBCN;SBF2;TBC1D14;TBC1D17;TBC1D25;TECPR1;TECPR2;TGFBRAP1;TIGAR;TM9SF1;TMEM41B;TMEM74;TP53INP2;TRIM11;UBQLN4;ULK1;ULK2;ULK3;USP13;UVRAG;VPS11;VPS13A;VPS16;VPS18;VPS33A;VPS39;VTI1A;WDFY3;WDR24
clusterset29	1.56	0.00225733	methylation	ALKBH8;BCDIN3D;BMT2;CAMKMT;CARM1;CMTR1;COQ3;CSKMT;DNMT3B;DOT1L;EEF2KMT;EHMT2;EZH1;FAM86B1;FTSJ1;HEMK1;HENMT1;KDM2A;KMT2B;KMT2D;KMT5C;LCMT2;METTL15;METTL17;METTL18;METTL22;METTL2A;METTL2B;METTL4;METTL6;MRM3;MTRR;N6AMT1;NDUFAF7;NSUN2;NSUN3;NSUN4;NSUN5;NSUN6;PCIF1;PRDM11;PRMT6;PRMT7;PRMT8;PRMT9;RRP8;SETD1A;SETD1B;SETD2;SETD4;SETD6;SETD7;SETD9;SETDB1;SETDB2;SMYD2;SMYD3;SMYD5;SUV39H2;TARBP1;TFB1M;TFB2M;THUMPD2;TRDMT1;TRMO;TRMT10A;TRMT10B;TRMT13;TRMT1L;TRMT2A;TRMT61A;TRMT61B;TRMT9B;TRMU;VCPKMT
clusterset29	1.45	6.11645e-07	protein_ubiquitination	ANAPC1;ANAPC2;ANAPC7;ANKIB1;AREL1;ARRB1;ARRB2;ARRDC4;ASB13;ASB7;BIRC6;BRAP;BTRC;C18orf25;CAND2;CBL;CBLB;CBLL1;CCDC22;CCNF;CDC23;CDC27;CDC42;CHFR;COP1;CUL4B;CUL9;DCAF1;DCAF10;DCAF11;DCAF12;DCAF15;DCAF17;DCAF4;DET1;DTX1;E4F1;EIPR1;ERCC8;FBXL17;FBXL2;FBXL22;FBXL3;FBXL5;FBXL6;FBXO10;FBXO2;FBXO25;FBXO3;FBXO30;FBXO31;FBXO38;FBXO6;FBXW11;FEM1A;FEM1C;FZR1;G2E3;GAN;GID4;HACE1;HECTD2;HECTD3;HECW2;HERC3;HERC4;ITCH;KCTD10;KLHL12;KLHL13;KLHL15;KLHL18;KLHL2;KLHL20;KLHL22;KLHL24;KLHL25;KLHL3;KLHL36;KLHL8;LNX1;LRSAM1;LTN1;LZTR1;MED1;MED12;MED18;MED24;MED7;MEX3C;MGRN1;MIB1;MIB2;MKRN3;MSL2;NEURL1;NEURL4;NFX1;OTULIN;PDZRN3;PELI1;PELI2;PELI3;PEX13;PEX14;PEX5;PPIL2;RAB40B;RAB40C;RC3H1;RC3H2;RFFL;RFPL2;RLIM;RMND5B;RNF103;RNF111;RNF112;RNF113A;RNF123;RNF138;RNF14;RNF144A;RNF152;RNF166;RNF168;RNF169;RNF180;RNF182;RNF185;RNF19B;RNF2;RNF20;RNF214;RNF215;RNF217;RNF220;RNF25;RNF34;RNF38;RNF41;RNF8;RNFT2;SDE2;SHPRH;SIAH2;SIRT1;SKP1;SMURF1;SMURF2;SOCS1;SOCS2;SOCS4;SOCS5;SOCS6;SOCS7;SPOPL;SPSB4;TRAF2;TRAF6;TRIM11;TRIM13;TRIM23;TRIM26;TRIM3;TRIM32;TRIM35;TRIM37;TRIM39;TRIM41;TRIM47;TRIM52;TRIM68;TRIM69;TRIM71;TRIM73;TRIM9;TSPAN17;UBB;UBE2D4;UBE2O;UBE2Q1;UBE2W;UBE3B;UBE3C;UBE3D;UBE4A;UBE4B;UBR1;UBR2;UBR3;UBR4;UBR5;UCHL3;UHRF2;UNKL;UVSSA;VCPIP1;VHL;VPS11;VPS18;WDSUB1;WDTC1;WWP1;WWP2;XIAP;ZBTB16;ZFP91;ZNRF2
