clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	27.93	0.0012292	axon_extension_involved_in_axon_guidance	ALCAM;NRP2;SEMA3A;SLIT2
c1	20.31	0.00256234	calcium_ion-regulated_exocytosis_of_neurotransmitter	DOC2B;RIMS1;RIMS2;RIMS3
c1	14.90	0.00434162	pulmonary_valve_morphogenesis	HEY1;ROBO1;ROBO2;SLIT2
c1	12.41	0.00777441	positive_regulation_of_synaptic_transmission	KCTD13;RIMS1;RIMS2;RIMS3
c1	10.47	0.023706	regulation_of_ARF_protein_signal_transduction	IQSEC1;PSD;PSD3
c1	9.86	0.023706	retinal_ganglion_cell_axon_guidance	ALCAM;ROBO2;SLIT2
c1	9.86	0.023706	mammary_gland_alveolus_development	ERBB4;SOCS2;VEGFA
c1	9.86	0.023706	axonal_fasciculation	NCAM2;NRCAM;SEMA3A
c1	9.86	0.023706	mRNA_destabilization	CNOT6L;FTO;MEX3D
c1	9.31	0.0250661	positive_regulation_of_branching_involved_in_ureteric_bud_morphogenesis	HOXB7;LHX1;VEGFA

c2	18.60	0.00240672	pattern_specification_process	APC2;BMP7;UNCX
c2	15.61	0.00345082	negative_regulation_of_neuron_differentiation	BMP7;CNTN4;MEIS1
c2	10.48	0.000960557	central_nervous_system_development	DNER;GRIK1;SERPINI1;SH3GL2;VCAN
c2	9.46	0.00116529	homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules	CDH4;CNTN4;PCDH17;PCDH8;PTPRT
c2	8.83	0.0112043	anterior/posterior_pattern_specification	HOXA4;HOXB4;TSHZ1
c2	7.82	0.00486364	animal_organ_morphogenesis	BMP7;FGF9;MEIS1;TLE3
c2	6.29	0.0208487	cell_population_proliferation	HOXB4;LHX9;PAK5
c2	5.25	0.0151705	axon_guidance	BMP7;CDH4;CNTN4;EPHB1
c2	5.11	0.0153589	chemical_synaptic_transmission	GRIK1;GRIN2B;PCDH8;TAC1
c2	4.98	0.000855706	nervous_system_development	APC2;BTBD3;CNTN4;EPHB1;GRIK1;MYT1L;RBFOX1;UNCX;ZNF423

c3	27.77	0.000550088	tetrahydrofolate_interconversion	MTHFD2;MTHFD2L;SHMT2;TYMS
c3	26.04	0.00393011	antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_MHC_class_I,_TAP-independent	B2M;HLA-C;LNPEP
c3	23.14	0.00424187	cellular_response_to_leucine_starvation	RRAGD;SESN1;SESN2
c3	23.14	0.00424187	tetrahydrofolate_metabolic_process	MTHFD2;SHMT2;TYMS
c3	23.14	0.00424187	cellular_response_to_leucine	RRAGD;SESN1;SESN2
c3	20.83	0.00549589	response_to_xenobiotic_stimulus	GSS;RHBDD3;TIGAR
c3	17.36	0.00222701	negative_regulation_of_TORC1_signaling	ATM;FNIP1;SESN1;SESN2
