cluster	GOterm	FDR	fold_enrich	GeneIDs
clusterset30	extracellular_region	6.58223e-16	1.79548	ABHD15;ABI3BP;ADAM12;ADAMTS12;ADAMTS14;ADAMTS15;ADAMTS16;ADAMTS2;ADAMTS6;ADAMTS9;ADAMTSL4;AGA;AGR2;AMTN;ANG;ANGPT1;ANGPTL4;ANOS1;APOH;APOL1;APOL3;APOL6;APOLD1;APOM;ARSA;ART5;ASIP;ASPN;B4GALT1;BMP1;BMP6;BPI;C16orf89;C17orf99;C1QTNF2;C1QTNF3;C1QTNF7;C5;C5orf46;C6;C7;C9;CASP1;CASP4;CCBE1;CCL2;CD109;CD40;CDA;CER1;CFH;CLEC18A;CLEC3A;CNPY4;CNTNAP3;COL14A1;COL16A1;COL21A1;COL22A1;COL27A1;COL5A3;COL6A2;COL6A3;COL8A1;CPA1;CPA4;CPB1;CPQ;CRISPLD1;CTSH;CXCL1;CXCL10;CXCL16;CXCL2;CXCL3;CXCL5;CXCL6;CYFIP1;CYTL1;DHRS7C;DNAH11;DSN1;EBI3;EDN1;EDN2;EFEMP1;EGFLAM;EGFR;ELN;EMCN;EMILIN1;EMILIN3;ENDOU;ENPP2;ENTPD5;EPDR1;ERAP1;FAM180B;FBN1;FGF1;FGFBP2;FGFR3;FMOD;FN1;FNDC1;FRZB;FST;GDF10;GDF5;GKN1;GLB1L;GLB1L2;GLIPR2;GPC6;GPHA2;GREM1;HAPLN1;HAPLN3;HHIP;HMCN1;HTRA3;ICAM4;IDE;IL17B;IL17RA;IL1R1;IL32;IL33;IL4I1;IL4R;IL6;INHBE;JAG1;KERA;KIRREL3;KLK8;LAMA1;LAMA4;LAMA5;LAMB1;LAMC3;LCAT;LEFTY2;LFNG;LOXL2;LOXL3;LPL;LRRC17;LRRC6;MAMDC2;MAPK15;MEGF6;METTL24;METTL7A;MR1;MVP;NID1;NPW;NRTN;NTN1;OLFM4;OLFML2A;OLFML2B;OMD;OPTC;PCSK9;PDGFC;PDGFD;PDGFRL;PGM2;PLA2R1;PLAC1;PLAC9;PLAU;PLAUR;POMC;PTHLH;PTPRZ1;PTX3;REG3G;S100A4;S100B;S1PR3;SCRG1;SCT;SCUBE2;SEMA3B;SERPINA9;SFRP4;SLIT3;SMOC1;SOD3;SSC5D;STXBP2;TEK;TFF3;TFPI2;TGFB1;TGFB3;THBS1;THBS3;THSD4;TIMP3;TINAGL1;TNFAIP6;TREM1;TREM2;TSKU;TTR;TXNDC5;UCN2;VSTM4;VWA1;VWF;WNT11;WNT16;WNT3A;WNT5A;WNT6;XYLT2
clusterset30	extracellular_matrix	2.65877e-13	3.29761	ABI3BP;ADAMTS12;ADAMTS14;ADAMTS15;ADAMTS16;ADAMTS2;ADAMTS6;ADAMTS9;ADAMTSL4;AMTN;ANOS1;ASPN;CCBE1;COL14A1;COL16A1;COL22A1;COL27A1;COL5A3;COL6A2;COL6A3;COL8A1;EFEMP1;EGFLAM;ELN;EMILIN1;FBN1;FGF1;FMOD;FN1;HAPLN1;HAPLN3;KERA;LAMA1;LAMA5;LAMC3;LRIG1;LRRC17;NID1;OLFML2A;OLFML2B;OMD;OPTC;PTPRZ1;PTX3;SSC5D;TFPI2;TGFB1;THBS1;THSD4;TIMP3;TLR3;TRIL;VWA1;VWF;WNT11;WNT5A;WNT6
clusterset30	extracellular_space	2.65877e-13	1.90817	ABI3BP;ACTBL2;ACTG2;ADAMTS15;AGA;AGR2;ANG;ANGPT1;ANGPTL4;ANOS1;APOH;APOL1;APOM;ARSA;ASIP;ASPN;B4GALT1;BMP1;BMP6;BPI;C17orf99;C5;C9;CBR3;CCBE1;CCL2;CD109;CD40;CER1;CFH;CHEK1;CLEC18A;CLEC3A;CMTM5;COL14A1;COL16A1;COL21A1;COL22A1;COL27A1;COL5A3;COL6A2;COL6A3;COL8A1;CPA1;CPA4;CPB1;CPQ;CRISPLD1;CTSH;CTSO;CXCL1;CXCL10;CXCL16;CXCL2;CXCL3;CXCL5;CXCL6;CYTL1;EBI3;EDN1;EDN2;EFEMP1;EGFR;EMILIN1;ENDOU;ENG;ENPP2;ERAP1;FBN1;FGF1;FGFBP2;FMOD;FN1;FRZB;FST;FZD4;GDF10;GDF5;GKN1;GLIPR2;GPC6;GPHA2;GREM1;HAPLN3;HFE;IDE;IL17B;IL32;IL33;IL4R;IL6;INHBE;KERA;KLK8;LAMA1;LAMA5;LAMB1;LCAT;LEFTY2;LOXL2;LOXL3;LPL;LRIG1;LRRC17;MERTK;MR1;OAS3;OLFM4;OMD;PCSK9;PDGFC;PDGFD;PLAU;POMC;PPFIBP2;PTHLH;PTX3;RARRES1;REG3G;S100A4;S100B;SCARA3;SCRG1;SCT;SCUBE2;SEMA3B;SERPINA9;SERPINB7;SFRP4;SLIT3;SMOC1;SOD3;SSC5D;SULF1;TFF3;TFPI2;TGFB1;TGFB3;THBS1;TIMP3;TINAGL1;TLR3;TNFAIP2;TNFAIP6;TNFSF18;TRIL;TSKU;TTR;UCN2;VCAM1;VWA1;VWF;WNT11;WNT16;WNT3A;WNT5A;WNT6;XYLT2
clusterset30	extracellular_matrix_organization	1.08194e-10	3.08743	ABI3BP;ADAM12;ADAMTS12;ADAMTS14;ADAMTS15;ADAMTS16;ADAMTS2;ADAMTS6;ADAMTS9;ADAMTSL4;B4GALT1;COL14A1;COL16A1;COL22A1;COL27A1;COL5A3;COL6A2;COL6A3;COL8A1;EGFLAM;ELF3;ELN;EMILIN1;FBN1;FN1;FOXF2;HAPLN1;ICAM4;ITGA4;ITGB4;ITGB8;LAMA1;LAMA4;LAMA5;LAMB1;LAMC3;NFKB2;NID1;OLFML2A;OLFML2B;PTPRQ;PTX3;SLC39A8;SMOC1;THBS1;THSD4;TTR;VCAM1;VWA1;VWF;WNT3A
clusterset30	collagen-containing_extracellular_matrix	1.08194e-10	2.74356	ABI3BP;ADAMTS15;ADAMTS2;ADAMTS9;ADAMTSL4;ANGPT1;ANGPTL4;APOH;ASPN;CDON;COL14A1;COL16A1;COL21A1;COL27A1;COL5A3;COL6A2;COL6A3;COL8A1;CTSH;EFEMP1;ELN;EMILIN1;EMILIN3;FBN1;FMOD;FN1;FRAS1;GDF10;GPC6;GREM1;HAPLN1;HMCN1;INHBE;LAMA1;LAMA4;LAMA5;LAMB1;LEFTY2;LOXL2;NID1;OMD;PTPRQ;S100A4;SCARA3;SEMA3B;SOD3;SRPX;SSC5D;SULF1;TGFB1;TGFB1I1;TGFB3;TGM2;THBS1;THBS3;THSD4;TIMP3;TINAGL1;VWA1;VWF;WNT5A
clusterset30	extracellular_matrix_structural_constituent	1.35057e-06	3.35546	ABI3BP;ANOS1;COL14A1;COL16A1;COL22A1;COL27A1;COL5A3;COL8A1;EFEMP1;ELN;EMILIN1;FBN1;FN1;FRAS1;HMCN1;LAMA1;LAMA4;LAMA5;LAMB1;NID1;OPTC;SRPX;TFPI2;THBS1;THBS3;THSD4;TINAGL1;VWA1;VWF
clusterset30	cell_cycle	6.36818e-06	1.86154	ANLN;APEX2;AURKA;BORA;BRCA1;BUB1;BUB1B;CABLES1;CCNA2;CCNB1;CCNE1;CCNE2;CCNO;CDC14A;CDC25C;CDCA3;CDCA8;CDKN2A;CDKN3;CHAF1A;CHAF1B;CHEK1;CHTF18;CLSPN;DCDC1;DDIAS;DSCC1;DSN1;E2F1;ECT2;EPB41L2;ERCC6L;FAM83D;FANCD2;FANCI;FBXL7;FBXO5;GAS2;HASPIN;HAUS4;HAUS8;HMCN1;HMG20B;KCTD11;KNL1;KNTC1;LLGL2;MAP3K8;MASTL;MCM2;MCM3;MCM5;MCM8;MTBP;NCAPD2;NCAPD3;NCAPG;NCAPG2;NCAPH;NEDD1;NEDD9;NEK11;NEK6;PARD3B;PIMREG;PLK1;PRC1;PSRC1;RBBP8;RCC1;REEP4;RGCC;SMC4;SNX33;SPAG5;SPICE1;STOX1;TACC3;TICRR;TIMELESS;TPX2;USP2
clusterset30	cytokine_activity	1.30621e-05	2.88813	BMP1;BMP6;C17orf99;CCL2;CER1;CMTM5;CXCL1;CXCL10;CXCL16;CXCL2;CXCL3;CXCL5;CXCL6;EBI3;EDN1;GDF10;GDF5;GREM1;IL17B;IL32;IL33;IL6;INHBE;LEFTY2;TGFB3;TNFSF18;WNT11;WNT16;WNT3A;WNT5A;WNT6
clusterset30	cell_division	1.41727e-05	2.09158	ANLN;AURKA;BORA;BUB1;BUB1B;CABLES1;CCNA2;CCNB1;CCNE1;CCNE2;CCNO;CDC14A;CDC25C;CDCA3;CDCA4;CDCA8;DCDC1;DSN1;ECT2;EPB41L2;ERCC6L;FAM83D;FBXL7;FBXO5;HAUS4;HAUS8;HMCN1;KIF14;KNL1;KNTC1;LLGL2;MASTL;MCM5;NCAPD2;NCAPD3;NCAPG;NCAPG2;NCAPH;NEDD1;NEDD9;NEK6;PARD3B;PIMREG;PLK1;PRC1;PSRC1;RBBP8;RCC1;REEP4;SMC4;SNX33;SPAG5;SPICE1;STOX1;TACC3;TIMELESS;TPX2
clusterset30	DNA_replication	3.53579e-05	2.79496	BARD1;BLM;BRCA1;CHAF1A;CHAF1B;CHEK1;CHTF18;CLSPN;DNA2;DSCC1;GINS1;GINS2;GINS3;GINS4;HELB;MCM2;MCM3;MCM5;MCM8;ORC1;POLA1;POLA2;POLD1;POLE2;POLQ;RBBP8;RECQL4;RNASEH2A;TICRR;TIMELESS
