clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset32	20.89	0.000344094	chordate_embryonic_development	BRCA1;BRCA2;CENPU;TRIP6
clusterset32	17.41	0.000754333	pulmonary_artery_morphogenesis	HEY2;JAG1;LRP2;STRA6
clusterset32	17.41	0.000754333	prostate_gland_epithelium_morphogenesis	AR;FOXA1;NOTCH1;TNC
clusterset32	15.67	0.00537324	negative_regulation_of_plasminogen_activation	CTSZ;SERPINE1;SERPINF2
clusterset32	15.67	0.00537324	regulation_of_striated_muscle_tissue_development	CENPF;SMAD3;TGFB1
clusterset32	15.67	0.00537324	positive_regulation_of_exit_from_mitosis	CDCA5;TGFB1;UBE2C
clusterset32	13.06	0.00791291	regulation_of_keratinocyte_proliferation	YAP1;ZFP36;ZFP36L1
clusterset32	13.06	0.00224705	response_to_laminar_fluid_shear_stress	ABCA1;ETS1;SMAD6;TGFB1
clusterset32	13.06	0.00791291	kinetochore_organization	CDT1;NDC80;NUF2
clusterset32	13.06	0.00224705	notochord_development	COL2A1;ID3;TEAD2;YAP1
clusterset32	13.06	0.00224705	wound_healing,_spreading_of_epidermal_cells	AJUBA;COL5A1;ITGA5;WNT7A
clusterset32	12.05	0.00019253	negative_regulation_of_stem_cell_differentiation	HES1;HES5;JAG1;NOTCH1;YAP1;ZFP36L2
clusterset32	11.87	0.000754333	regulation_of_epithelial_cell_proliferation	EDNRB;HES1;HES5;NOTCH1;SMAD3
clusterset32	11.61	0.00295891	response_to_interferon-beta	BST2;IFITM1;IFITM2;IFITM3
clusterset32	11.61	0.00295891	somatic_stem_cell_division	FZD7;NOTCH1;WNT7A;ZFP36L2
clusterset32	11.19	0.01075	negative_regulation_of_cytokinesis	AURKB;CHMP4C;E2F7
clusterset32	11.19	0.01075	ventricular_cardiac_muscle_cell_development	CDK1;HEY2;NKX2-5
clusterset32	11.19	0.01075	astrocyte_differentiation	HES5;NKX2-2;NOTCH1
clusterset32	10.45	0.00419384	response_to_interferon-alpha	BST2;IFITM1;IFITM2;IFITM3
clusterset32	10.45	0.000349458	DNA_damage_response,_signal_transduction_by_p53_class_mediator_resulting_in_transcription_of_p21_class_mediator	BRCA1;BRCA2;CDKN1A;FOXM1;RBM38;TP53
clusterset32	10.45	0.000349458	pulmonary_valve_morphogenesis	HEY2;JAG1;NOTCH1;NOTCH2;SMAD6;STRA6
clusterset32	10.04	0.00155626	cardiac_septum_morphogenesis	DHRS3;HEY2;JAG1;NOTCH1;TP53
clusterset32	9.79	0.0137991	negative_regulation_of_stress-activated_MAPK_cascade	FOXM1;FOXO1;PBK
clusterset32	9.79	0.0137991	bleb_assembly	EMP1;EMP3;LPAR1
clusterset32	9.79	0.0137991	embryonic_heart_tube_morphogenesis	HES1;TEAD2;YAP1
clusterset32	9.79	0.0137991	nodal_signaling_pathway	CFC1;SMAD3;TGIF2
clusterset32	9.79	0.0137991	vascular_associated_smooth_muscle_cell_development	EFEMP2;HES1;HEY2
clusterset32	9.50	0.00543509	cellular_response_to_angiotensin	AGT;BRIP1;CDC6;CYBA
clusterset32	9.50	0.00543509	attachment_of_mitotic_spindle_microtubules_to_kinetochore	CDT1;KIF2C;NDC80;NUF2
clusterset32	9.50	0.00543509	Notch_signaling_involved_in_heart_development	HEY2;JAG1;NOTCH1;NOTCH2
clusterset32	9.50	0.00543509	positive_regulation_of_positive_chemotaxis	F2RL1;F3;ITGA2;SMAD3
clusterset32	9.14	0.000225252	neuronal_stem_cell_population_maintenance	ASPM;HES1;HES5;JAG1;NOTCH1;REST;SOX2
clusterset32	8.71	0.017037	glomerular_visceral_epithelial_cell_development	JAG1;MYO1E;NOTCH2
clusterset32	8.71	0.017037	actin_filament_reorganization	EFS;GDPD2;NEDD9
clusterset32	8.71	0.017037	negative_regulation_of_biomineral_tissue_development	HEY2;NOTCH1;TGFB1
clusterset32	8.71	0.00686124	hepatocyte_differentiation	ANXA1;E2F7;ITGA2;KRT18
clusterset32	8.71	0.017037	atrial_septum_morphogenesis	HEY2;NKX2-5;NOTCH2
clusterset32	8.71	0.017037	optic_nerve_development	LPAR1;NKX2-2;TCIRG1
clusterset32	8.71	0.017037	regulation_of_chromosome_segregation	AURKB;KIF2C;MKI67
clusterset32	8.71	0.017037	positive_regulation_of_heart_contraction	APELA;HRC;NKX2-5
clusterset32	8.71	0.017037	positive_regulation_of_organ_growth	ARX;YAP1;YBX3
clusterset32	8.71	0.017037	ovulation_cycle	AXL;BMPR1B;TIMP4
clusterset32	8.71	0.017037	morphogenesis_of_a_branching_structure	ERMN;PRDM1;TGFB1
clusterset32	8.71	0.00686124	positive_regulation_of_intracellular_estrogen_receptor_signaling_pathway	AR;FOXA1;SRARP;YAP1
clusterset32	7.83	0.0203067	regulation_of_mitotic_metaphase/anaphase_transition	CDC6;NEK6;UBE2C
clusterset32	7.83	0.0203067	positive_regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	BMPR1B;PMAIP1;STK3
clusterset32	7.83	0.0203067	cardiac_muscle_tissue_morphogenesis	ANKRD1;NKX2-5;NOTCH1
clusterset32	7.83	0.0203067	negative_regulation_of_oligodendrocyte_differentiation	HES1;HES5;NOTCH1
clusterset32	7.83	0.0203067	collagen-activated_tyrosine_kinase_receptor_signaling_pathway	COL4A5;COL4A6;DDR1
clusterset32	7.83	0.0203067	lens_fiber_cell_differentiation	SLC7A11;SMAD3;TGFB1
clusterset32	7.83	0.0203067	hepatocyte_apoptotic_process	KRT18;KRT8;STK3
clusterset32	7.83	0.0203067	chondrocyte_proliferation	FGFR3;HMGA2;MMP14
clusterset32	7.83	0.0203067	positive_regulation_of_cytokine-mediated_signaling_pathway	AGPAT2;AXL;TSLP
clusterset32	7.83	0.0203067	positive_regulation_of_protein_kinase_A_signaling	ADGRV1;ADRB2;TCIM
clusterset32	7.83	0.0203067	regulation_of_gastrulation	CRB2;PHLDB2;TGIF2
clusterset32	7.83	0.0203067	planar_cell_polarity_pathway_involved_in_neural_tube_closure	CELSR1;FZD2;GRHL3
clusterset32	7.83	0.0203067	DNA_replication_checkpoint	CDC45;CDC6;CDT1
clusterset32	7.46	4.43072e-05	negative_regulation_of_viral_genome_replication	APOBEC3C;BST2;FAM111A;IFI16;IFIT1;IFITM1;IFITM2;IFITM3;ISG15;SLPI
clusterset32	7.46	0.010358	regulation_of_keratinocyte_differentiation	CD109;CTSV;ZFP36;ZFP36L1
clusterset32	7.12	0.023773	positive_regulation_of_phagocytosis,_engulfment	F2RL1;ITGA2;TREM2
clusterset32	7.12	0.023773	regulation_of_blood_coagulation	F2RL1;FOXA2;SERPING1
clusterset32	7.12	0.023773	digestive_tract_morphogenesis	AGR2;SHH;STRA6
clusterset32	7.12	0.023773	negative_regulation_of_DNA_biosynthetic_process	ANKRD1;CDKN1A;GJA1
clusterset32	7.12	0.023773	attachment_of_spindle_microtubules_to_kinetochore	AURKB;NDC80;SGO1
clusterset32	7.12	0.023773	positive_regulation_of_leukocyte_migration	ITGA2;KITLG;SELP
clusterset32	7.12	0.023773	immunoglobulin_mediated_immune_response	IL13RA2;INPP5D;TCIRG1
clusterset32	7.12	0.023773	positive_regulation_of_cell-cell_adhesion_mediated_by_cadherin	FOXA1;FOXA2;SERPINF2
clusterset32	6.96	0.0118808	astrocyte_development	CDK6;LAMB2;PLP1;TLR4
clusterset32	6.87	0.00565915	response_to_X-ray	ANXA1;BRCA2;CDKN1A;TP53;XRCC2
clusterset32	6.53	0.00662992	cell_adhesion_mediated_by_integrin	ICAM1;ITGA2;ITGA5;ITGB5;ITGB8
clusterset32	6.53	0.0281868	non-canonical_Wnt_signaling_pathway	FZD6;FZD7;WNT7A
