clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	42.23	0.000135616	peristalsis	DRD2;GDNF;P2RX3;SSTR2
c1	31.67	0.00211043	neural_crest_cell_migration_involved_in_autonomic_nervous_system_development	NRP1;NRP2;PHOX2B
c1	21.11	0.00599027	sympathetic_ganglion_development	NRP1;NRP2;PHOX2B
c1	21.11	0.00133541	enteric_nervous_system_development	GDNF;PHOX2A;PHOX2B;RET
c1	18.10	0.00175609	sympathetic_nervous_system_development	GDNF;PHOX2A;PHOX2B;PLXNA4
c1	17.28	0.00869421	behavioral_response_to_pain	P2RX3;SCN9A;TSPO
c1	15.84	0.00982769	commissural_neuron_axon_guidance	GDNF;NFIB;NRP1
c1	14.90	0.00301692	response_to_pain	RET;SLC6A2;TAC1;TSPO
c1	13.57	0.0122423	protein_homotrimerization	ASIC1;P2RX3;SIGMAR1
c1	13.57	0.0122423	endothelial_cell_differentiation	CXCR4;HOXB5;SCUBE1
c1	12.67	0.00151814	outflow_tract_septum_morphogenesis	NRP1;NRP2;RARB;ROBO2;TBX2
c1	11.18	0.0169882	retinal_ganglion_cell_axon_guidance	EPHA7;NRP1;ROBO2
c1	11.18	0.0169882	regulation_of_postsynapse_organization	EPHA7;IL1RAPL1;NRP2
c1	10.56	0.00823359	negative_regulation_of_stress_fiber_assembly	CORO2B;DLC1;MET;TMEFF2
c1	9.50	0.0210327	regulation_of_dendrite_morphogenesis	CHRNA3;LZTS1;SARM1
c1	9.38	0.00982769	response_to_morphine	CXCR4;DRD2;OPRK1;TAC1
c1	8.80	0.00519577	semaphorin-plexin_signaling_pathway	MET;NRP1;PLXNA2;PLXNA4;SEMA3D
c1	8.74	0.0122125	response_to_axon_injury	DRD2;FLRT3;SARM1;TSPO
c1	8.69	0.000938737	sensory_perception_of_pain	ADCYAP1;HOXD1;NMU;OPRK1;RETREG1;SCN9A;TAC1
c1	8.64	0.0248388	regulation_of_myelination	NKX6-2;RARB;ZPR1
c1	8.64	0.0248388	regulation_of_neuron_apoptotic_process	EGLN3;LANCL1;SIGMAR1
c1	8.64	0.0248388	mitotic_cell_cycle_phase_transition	CCNA1;CKS2;LZTS1
c1	8.17	0.0127781	actomyosin_structure_organization	CNN2;EPB41L3;EPB41L4A;FRMD3
c1	8.12	0.00624751	ureteric_bud_development	GDNF;RARB;RET;ROBO2;SMAD1
c1	7.31	0.0362254	cell_development	ARID5B;IRX1;PHOX2B
c1	7.24	0.0169882	response_to_starvation	ADCYAP1;ADSL;BCAS3;SSTR2
c1	6.85	0.0175734	skeletal_system_morphogenesis	ARID5B;FGFR1;HOXB4;MMP2
c1	6.79	0.0409936	metanephros_development	GDNF;IRX1;ROBO2
c1	6.79	0.0409936	calcium-ion_regulated_exocytosis	STX1A;SYN2;SYT17
c1	6.33	0.0472645	associative_learning	ASIC1;DRD2;TAC1
c1	6.33	0.0210327	negative_chemotaxis	EPHA7;FLRT3;NRP2;SEMA3D
c1	6.03	0.023824	neural_crest_cell_migration	GDNF;NRP2;RET;SEMA3D
c1	5.37	0.0171456	forebrain_development	DLC1;DRD2;NFIB;POU3F1;SSTR2
c1	5.28	0.0175734	positive_regulation_of_endothelial_cell_migration	BCAS3;FOXP1;NRP1;NRP2;SASH1
c1	4.58	0.0169882	positive_regulation_of_neuron_differentiation	FGFR1;NKX6-1;PCP4;PHOX2B;RARB;SOCS2
c1	4.48	0.000135616	axon_guidance	ANOS1;CXCR4;EPHA7;FLRT3;GAB2;GDNF;NRP1;NRP2;PLXNA4;RET;ROBO2;SEMA3D;SHC1;TUBB3;UNC5D
c1	4.46	0.0260398	locomotory_behavior	ANKH;C1QL1;CHRNA3;DRD2;OPRK1
c1	4.32	0.0175734	neuropeptide_signaling_pathway	ADCYAP1;ECEL1;NMU;OPRK1;SSTR2;TAC1
c1	3.86	0.0409936	activation_of_cysteine-type_endopeptidase_activity_involved_in_apoptotic_process	BBC3;DLC1;EGLN3;PML;RET
c1	3.76	0.0260398	neuron_migration	CXCR4;FGFR1;NKX6-1;NRP1;NRP2;PHOX2B
c1	3.36	0.0409936	transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	EPHA7;FGFR1;GAB2;MET;RET;SHC1
c1	3.27	0.0204865	neuron_differentiation	ANOS1;FUT9;HOXD1;IL1RAPL1;IRX1;MET;PHOX2B;RET
c1	3.26	0.0166684	response_to_hypoxia	ADSL;CXCR4;CYGB;DRD2;EGLN3;MMP2;P2RX3;PML;XRCC1
c1	3.24	0.0291421	regulation_of_cell_shape	DLC1;EPB41L3;MSN;PLXNA2;PLXNA4;RHOC;RHOU
c1	2.94	0.0424218	cytoskeleton_organization	CAP2;CNN2;EPB41L3;MICAL1;MSN;RHOU;TUBB3
c1	2.77	0.0210327	chemical_synaptic_transmission	CACNB3;CHRNA3;DOC2B;GPR176;OPRK1;P2RX3;PCDH8;SLC6A2;SYN2;TAC1
c1	2.31	0.00869421	nervous_system_development	ADCYAP1;CHRNA3;CRIM1;EPHA7;FABP7;FUT9;GDNF;MET;NRP1;NRP2;PLXNA4;RET;ROBO2;SARM1;SEMA3D;SIGMAR1;SRGAP2;ST8SIA4;TOX
c1	1.67	0.0122423	signal_transduction	ADA2;ASIC1;CAP2;CHRNA3;CLIC1;CXCR4;DGKH;DIRAS2;DLC1;DRD2;GDNF;GPR176;GUCY1A2;IL1RAPL1;MAP2K5;MAPKAPK3;MET;MICAL1;NRP1;OPRK1;P2RX3;PLCB4;PLCXD3;PLXNA2;PLXNA4;RARB;RET;RGMB;SARM1;SCUBE1;SHC1;SMAD1;SRGAP2;SSTR2;TENM3;TLE1;UNC5D;ZPR1

c2	18.90	0.000595515	neuron_cell-cell_adhesion	ASTN2;NCAM2;NRXN3;TNR
c2	16.44	0.000166343	synaptic_membrane_adhesion	LRRC4;NTNG1;PCDH17;PTPRD;SLITRK1
c2	14.18	0.00668552	glutamate_receptor_signaling_pathway	GRIA4;GRIK1;GRIN2B
c2	13.50	0.000409287	adult_behavior	GABRG2;NRXN3;PCDH17;SLC1A2;SLITRK1
c2	13.15	0.00207294	proximal/distal_pattern_formation	HOXA9;HOXB9;HOXC9;HOXD9
c2	12.60	0.0087232	chondrocyte_development	FGF18;SFRP2;SULF2
c2	12.60	0.00012367	embryonic_skeletal_system_development	HOXA9;HOXB9;HOXC6;HOXC9;HOXD9;SULF2
c2	12.03	4.01526e-05	embryonic_skeletal_system_morphogenesis	HOXA7;HOXA9;HOXB7;HOXB8;HOXB9;HOXC9;HOXD9
c2	9.86	0.0159541	ionotropic_glutamate_receptor_signaling_pathway	GRIA4;GRIK1;GRIN2B
c2	9.45	0.0173887	regulation_of_synapse_organization	CDH8;GPM6A;SLITRK1
c2	9.45	0.00586637	mammary_gland_development	HOXA9;HOXB9;HOXD9;NRG3
c2	8.40	0.0227267	synaptic_transmission,_glutamatergic	CDH8;GRIK1;SLC17A6
c2	7.82	0.0260509	stem_cell_differentiation	GPM6A;HOXA7;SOX21
c2	7.38	0.0106678	adherens_junction_organization	CADM2;CDH10;CDH8;NECTIN1
c2	7.32	0.0286605	regulation_of_presynapse_assembly	NTRK3;PTPRD;SLITRK1
c2	7.32	7.89128e-05	anterior/posterior_pattern_specification	HOXA7;HOXA9;HOXB7;HOXB8;HOXB9;HOXC6;HOXC9;HOXD9;SFRP2
c2	7.06	0.000669256	modulation_of_chemical_synaptic_transmission	CSPG5;GRIK1;LRRC4;NRG3;NTNG1;PTPRD;TNR
c2	6.87	0.00586637	positive_regulation_of_synapse_assembly	ADGRB3;ADGRL2;NTRK2;PTPRD;SLITRK1
c2	6.30	0.0409753	positive_regulation_of_axonogenesis	NTRK2;ROBO1;SLITRK1
c2	6.17	0.0176252	regulation_of_postsynaptic_membrane_potential	FGF14;GABRA2;GABRG2;GRIK1
c2	6.13	0.0418399	regulation_of_neuron_projection_development	NTNG1;RGMA;SFRP2
c2	5.53	0.0497071	heterophilic_cell-cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	NECTIN1;PTPRD;TENM2
c2	5.50	0.0249056	synapse_organization	ADGRL2;LRRC4;SNCB;TNR
c2	5.34	0.00626025	ephrin_receptor_signaling_pathway	ANKS1B;EPHA3;EPHA5;EPHB6;GRIN2B;NTRK3
c2	5.21	0.0281712	cellular_response_to_retinoic_acid	BRINP1;EPHA3;NTRK3;WNT5B
c2	4.99	2.70438e-05	axon_guidance	ANOS1;DCC;DOK5;DOK6;EPHA3;EPHA5;GBX2;GFRA2;NECTIN1;NRXN3;ROBO1;SLIT1;TNR;VSTM2L
c2	4.68	0.00586637	transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	DOK5;EPHA3;EPHA5;EPHB6;GFRA2;NTRK2;NTRK3
c2	4.54	0.00178406	homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules	CDH10;CDH8;FAT3;NECTIN1;PCDH10;PCDH17;PCDH9;ROBO1;VSTM2L
c2	4.49	0.0110833	neuron_migration	ASTN2;DCC;FAT3;GPM6A;NTRK2;NTRK3
c2	4.45	0.0418399	negative_regulation_of_neuron_projection_development	DCC;ITM2C;RGMA;TNR
c2	4.38	0.0421182	positive_regulation_of_kinase_activity	EPHA3;EPHA5;NTRK2;NTRK3
c2	4.30	0.00703716	positive_regulation_of_neuron_projection_development	ATP1B2;CNR1;EPHA3;NEGR1;NTRK2;NTRK3;RGMA
c2	4.20	0.0474067	regulation_of_actin_cytoskeleton_organization	EPHA3;EPHA5;PAM;RND3
c2	4.06	3.08295e-08	nervous_system_development	ADGRG1;CRIM1;CSPG5;CYP46A1;DCC;EPHA5;FGF14;GBX2;GFRA2;GPM6A;GRIK1;NAV2;NAV3;NELL1;NRG3;NRN1;NTNG1;NTRK2;NTRK3;PCSK2;RBFOX3;ROBO1;SLC1A2;SLIT1;SLITRK1;SOX14;TCF4;ZEB2
c2	3.90	0.0066432	neuron_differentiation	ANOS1;DOK5;IRX3;ITM2C;LHX4;NTRK2;PTPRD;WNT5B
c2	3.36	0.0325107	central_nervous_system_development	GRIK1;MBP;NCAN;NHLH2;PAM;PPP1R17
c2	3.35	0.0497071	response_to_ethanol	ADIPOR2;CCND1;CNR1;GRIN2B;NTRK3
c2	3.30	0.00626025	chemical_synaptic_transmission	CACNB4;CDH8;GABRA2;GABRG2;GRIK1;GRIN2B;KCNK3;MBP;SLC1A2;SNCB
c2	3.28	1.29966e-05	cell_adhesion	ADGRG1;ANOS1;ATP1B2;CADM2;CD47;CDH10;CDH8;CNTN5;EPHA3;FAT3;MAGI1;NCAM2;NCAN;NECTIN1;NEGR1;NRXN3;NTM;PCDH10;PCDH17;PCDH9;RND3;ROBO1;TENM2;TNR
c2	2.95	7.61131e-08	multicellular_organism_development	ADGRG1;CDH10;CDH8;CSPG5;DACH1;DCC;DZIP1;EBF3;EPHA3;EPHA5;FAT3;FSTL5;GREB1L;GRIN2B;HOXA7;HOXA9;HOXB7;HOXB8;HOXB9;HOXC6;HOXC8;HOXC9;HOXD9;IRX3;KLF3;MN1;NHLH2;NTNG1;NTRK2;NTRK3;ROBO1;SFRP2;SHB;SHROOM2;SLIT1;VSX2;WNT5B;ZNF521
c2	2.95	0.0497071	cell-cell_adhesion	CDH10;CDH8;FAT3;NECTIN1;NEGR1;TENM2
c2	2.18	0.00242839	cell_differentiation	ADGRG1;CSPG5;DZIP1;FGF18;FSTL5;NAP1L2;NELL1;NHLH2;NTNG1;NTRK2;NTRK3;ROBO1;RXRG;SFRP2;SHB;SLIT1;SOX14;SOX21;SYNE1;SYT3;TCF4;THSD7A;TMEM176B;ZNF521
c2	1.58	0.0286605	regulation_of_transcription_by_RNA_polymerase_II	DACH1;EBF3;GBX2;HOXA7;HOXA9;HOXB7;HOXB8;HOXB9;HOXC6;HOXC8;HOXC9;HOXD9;IRX3;KLF3;LHX4;MAF;NHLH2;NPAS3;PAM;PRKCB;RXRG;SALL1;SALL3;SOX21;TCF4;TOX3;VSX2;ZEB2;ZNF521;ZNF608

c3	23.93	7.48978e-07	embryonic_skeletal_system_morphogenesis	HOXA6;HOXA7;HOXA9;HOXB6;HOXB7;HOXB8;HOXB9
c3	20.89	4.86439e-05	embryonic_skeletal_system_development	HOXA6;HOXA9;HOXB6;HOXB9;HOXC6
c3	20.51	0.00138645	positive_regulation_of_vascular_endothelial_growth_factor_production	IL6ST;ISL1;RORA
c3	18.80	0.00033025	cell-cell_junction_assembly	CDH10;CDH11;CDH12;CDH7
c3	18.80	0.00033025	cell-cell_adhesion_via_plasma-membrane_adhesion_molecules	CDH10;CDH11;CDH12;CDH7
c3	16.26	0.000532184	calcium-dependent_cell-cell_adhesion_via_plasma_membrane_cell_adhesion_molecules	CDH10;CDH11;CDH12;CDH7
c3	14.68	0.000726911	adherens_junction_organization	CDH10;CDH11;CDH12;CDH7
c3	12.94	4.72343e-06	anterior/posterior_pattern_specification	HOXA6;HOXA7;HOXA9;HOXB6;HOXB7;HOXB8;HOXB9;HOXC6
c3	12.54	0.00110799	adult_locomotory_behavior	FGF12;HOXB8;SEZ6;TMOD1
c3	10.94	0.00156763	positive_regulation_of_synapse_assembly	ASIC2;CLSTN2;LRRN1;SLITRK1
c3	8.36	0.0139023	negative_regulation_of_neuron_differentiation	IRX3;ISL1;ZNF536
c3	8.02	5.96493e-05	homophilic_cell_adhesion_via_plasma_membrane_adhesion_molecules	CDH10;CDH11;CDH12;CDH7;CLSTN2;PALLD;PCDH10;PCDH9
c3	7.62	0.00543705	cell_morphogenesis	CDH10;CDH11;CDH12;CDH7
c3	6.94	0.0200043	calcium-mediated_signaling	CHRM3;GRIN2A;RCAN2
c3	6.64	0.0217216	negative_regulation_of_neuron_projection_development	EFNB2;PTPRG;SPOCK1
c3	6.54	0.0217319	neuron_projection_morphogenesis	MNX1;NTF3;NYAP2
c3	6.36	0.0226128	regulation_of_cell_growth	IGFBP5;PAPPA2;SPOCK1
c3	6.10	0.0243812	memory	GRIN2A;NTF3;PTN
c3	6.02	0.0244053	modulation_of_chemical_synaptic_transmission	CDH11;GRIN2A;NTF3
c3	5.62	0.0139023	negative_regulation_of_cell_migration	DACH1;IGFBP5;LIMCH1;PTN
c3	5.31	0.03185	ephrin_receptor_signaling_pathway	EFNB2;EPHA5;SDC2
c3	4.97	0.00160653	axon_guidance	ALCAM;EFNB2;EPHA5;GFRA1;PALLD;SH3KBP1;UNC5C
c3	4.88	0.0099203	cell-cell_adhesion	CDH10;CDH11;CDH12;CDH7;PDLIM1
c3	3.88	0.0321706	cell-cell_signaling	EFNB2;FGF12;NTF3;SH3KBP1
c3	3.46	0.00073499	nervous_system_development	BRINP3;CHODL;CHRM3;EFNB2;EPHA5;FGF12;GFRA1;NTF3;PTN;SDC2;SLITRK1;SPOCK1
c3	3.28	0.0317066	chemical_synaptic_transmission	ASIC2;CHRM3;FGF12;GRIN2A;SV2C
