cluster	GOterm	FDR	fold_enrich	GeneIDs
clusterset32	extracellular_space	1.82771e-18	2.63387	ACTA2;ADA;AEBP1;AGR2;AGT;ANGPTL2;ANXA1;APELA;AXL;BGN;C1QTNF6;CAPG;CCL15;CCL18;CD109;CD70;CD9;CMTM7;CMTM8;COL27A1;COL2A1;COL4A5;COL4A6;COL5A1;CP;CPQ;CRISPLD1;CTSV;CTSZ;CXCL1;CXCL2;CXCL3;CXCL5;CYTL1;DCN;DDR1;DEFB1;EFEMP1;EFEMP2;EGF;ENPP2;EZR;F3;F5;FST;FSTL1;GDF15;GDF3;GPC4;HLA-E;HMSD;HSPG2;HTRA1;ICAM1;IGFBP4;IL13RA2;IL32;INHBE;KITLG;KRT18;LCAT;LEFTY2;LRIG3;LUM;MASP1;MFGE8;MICA;MICB;MMP14;PDGFC;PGF;PLBD1;PPFIBP2;PROCR;PROM1;PRSS57;PTHLH;S100A11;S100A16;SELENBP1;SELP;SERPINA1;SERPINA11;SERPINE1;SERPINF2;SERPING1;SERPINH1;SHH;SLPI;SPARC;SPARCL1;SPON1;SPP1;STC2;SULF1;TFF1;TFF3;TFPI;TFPI2;TGFB1;TIMP3;TIMP4;TNC;TNFSF9;TSLP;TST;UMODL1;VASN;WNT7A;ZG16B
clusterset32	extracellular_region	6.82183e-15	2.12632	ADAMTS16;AEBP1;AGR2;AGT;ANGPTL2;ANTXR2;ANXA1;APELA;ARSJ;BGN;C1QTNF6;C1orf54;CCDC80;CCL15;CCL18;CD109;CD2;CD9;CDCP1;CFC1;CNMD;COL27A1;COL2A1;COL4A5;COL4A6;COL5A1;CP;CPQ;CRB2;CRISPLD1;CTSV;CTSZ;CXCL1;CXCL2;CXCL3;CXCL5;CYTL1;DCN;DDR1;DEFB1;DNAH5;EFEMP1;EFEMP2;EFNA4;EGF;ENPP2;EPHB4;F13A1;F3;F5;FAS;FBN2;FGFR3;FIBIN;FLNA;FST;FSTL1;GDF15;GDF3;GPC4;HLA-E;HMSD;HSPG2;HTRA1;IGFBP4;IL13RA2;IL32;INHBE;ISG15;ITIH5;ITLN1;JAG1;KITLG;LAMA4;LAMB2;LCAT;LEFTY2;LFNG;LTBP1;LUM;MAPK15;MASP1;MFGE8;MMRN1;MVP;NOTCH1;NOTCH2;NOTCH3;NTN1;PAMR1;PDGFC;PGF;PLBD1;PON2;PROCR;PRSS57;PTHLH;PTPRZ1;S100A11;S1PR3;SCPEP1;SDC4;SELENOP;SERPINA1;SERPINA11;SERPINE1;SERPINF2;SERPING1;SHH;SLPI;SPARC;SPARCL1;SPON1;SPON2;SPP1;STC2;TFF1;TFF3;TFPI;TFPI2;TGFB1;TIMP3;TIMP4;TNC;TREM2;TSLP;UACA;UMODL1;VASN;WFIKKN1;WNT7A;ZG16B
clusterset32	cell_surface	1.73842e-14	3.29071	ABCA1;ACKR3;ADA;ADGRV1;ANTXR1;ANTXR2;ANXA1;ANXA4;AXL;BGN;BST2;CD109;CD2;CD9;CFC1;CFTR;CTSZ;EPHA2;F3;FAS;FGFR3;FZD1;FZD6;GPC4;HLA-E;ICAM1;IL17RC;IQGAP2;ITGA1;ITGA2;ITGA5;ITGB5;ITGB8;JAM2;LPAR1;LRP4;MICA;MICB;MXRA8;NOTCH1;NOTCH2;NOTCH3;PDGFC;PROCR;PROM1;SDC4;SERPINF2;SHH;SLC1A3;SLC4A4;SLC7A11;SPARC;SULF1;TFPI;TGFB1;TLR4;TNFRSF10A;TNFRSF10C;TNFRSF10D;UMODL1;VAMP5;VASN;WNT7A
clusterset32	collagen-containing_extracellular_matrix	2.16971e-13	3.98101	AEBP1;AGT;ANGPTL2;ANXA1;ANXA4;BGN;COL27A1;COL2A1;COL4A5;COL4A6;COL5A1;CTSZ;DCN;EFEMP1;EFEMP2;F13A1;F3;FBN2;GDF15;GPC4;HSPG2;HTRA1;ICAM1;INHBE;LAMA4;LAMB2;LEFTY2;LTBP1;LUM;MFGE8;MMRN1;SERPINA1;SERPINE1;SERPINF2;SERPING1;SERPINH1;SHH;SLPI;SPARC;SPARCL1;SPON1;SULF1;TGFB1;TGM2;TIMP3;TNC
clusterset32	chromosome_segregation	1.92074e-08	5.95109	BIRC5;BRCA1;CDT1;CENPF;DLGAP5;ESCO2;HJURP;KIF2C;NDC80;NDE1;NEK2;NEK6;NUF2;OIP5;PTTG1;SGO1;SKA1;SKA3;SPC25;TOP2A
clusterset32	cell_cycle	1.26875e-07	2.39602	AJUBA;ASPM;AURKB;BIRC5;BRCA1;BRCA2;CCNB2;CDC20;CDC25C;CDC45;CDC6;CDCA5;CDK1;CDK2;CDK6;CDKN1A;CDT1;CENPA;CENPF;CEP55;DLGAP5;E2F7;EPB41L2;ESCO2;FANCI;FBXL7;FOXM1;HJURP;HMGA2;KIF18B;KIF2C;KIFC1;KRT18;MAP3K8;MELK;MKI67;NDC80;NDE1;NEDD9;NEK2;NEK6;NUF2;NUSAP1;OIP5;PARD3B;PIMREG;PKMYT1;PTTG1;RBM38;SGO1;SKA1;SKA3;SPC24;SPC25;TP53;UBE2C;ZWINT
clusterset32	negative_regulation_of_endopeptidase_activity	1.26875e-07	5.59072	AGT;BST2;CD109;CRB2;HMSD;ITIH5;PTTG1;SERPINA1;SERPINA11;SERPINE1;SERPINF2;SERPING1;SERPINH1;SLPI;TFPI;TFPI2;TIMP3;TIMP4;WFIKKN1
clusterset32	negative_regulation_of_peptidase_activity	1.54177e-07	6.16712	BIRC5;BIRC7;CD109;HMSD;ITIH5;SERPINA1;SERPINA11;SERPINE1;SERPINF2;SERPING1;SLPI;TFPI;TFPI2;TIMP3;TIMP4;UMODL1;WFIKKN1
clusterset32	peptidase_inhibitor_activity	1.54177e-07	6.16712	BIRC5;BIRC7;CD109;HMSD;ITIH5;SERPINA1;SERPINA11;SERPINE1;SERPINF2;SERPING1;SLPI;TFPI;TFPI2;TIMP3;TIMP4;UMODL1;WFIKKN1
clusterset32	immune_response	1.99546e-07	3.53098	ACKR3;CCL15;CCL18;CD70;CD79B;CRIP1;CTSV;CXCL1;CXCL2;CXCL3;CXCL5;DEFB1;ENPP2;ETS1;FAS;GPR183;GPSM3;HLA-E;IFITM2;IFITM3;IL32;ITGB8;NOTCH1;RGS1;SLPI;SMAD3;SMAD6;TLR4;TNFSF9;TRIM22
