clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset10	26.96	0.0218491	regulation_of_insulin-like_growth_factor_receptor_signaling_pathway	GHRHR;IGFBP3;IGFBP6
clusterset10	16.59	0.0232813	phospholipid_homeostasis	APOA1;FABP3;TLCD1
clusterset10	7.77	0.0370744	regulation_of_neurogenesis	BHLHE40;BHLHE41;HES1;WNT3
clusterset10	7.77	0.0370744	cell_death	CIDEA;FOSL2;HMOX1;PJVK
clusterset10	5.53	0.0232813	circadian_rhythm	ATOH7;BHLHE40;BHLHE41;JUN;NR1D1;NTRK1
clusterset10	5.30	0.0232813	anterior/posterior_pattern_specification	ARC;BHLHE40;BHLHE41;HES1;HOXB6;HOXB8;WNT3
clusterset10	3.12	0.0232813	response_to_drug	AGPAT2;APOA1;FABP3;FOSL1;GAL;HMOX1;JUN;NTRK1;SLC1A3;TH;TP53I13;WFDC1

clusterset11	46.96	0.000580332	negative_regulation_of_cytokine_production	AXL;EPHA2;GPNMB
clusterset11	8.71	0.00452966	angiogenesis	EPHA2;MFGE8;SERPINE1;TNFRSF12A
clusterset11	7.37	0.0038471	spermatogenesis	AXL;MEIOC;PTTG1;SPOCD1;TSSK3
clusterset11	6.92	0.023618	regulation_of_apoptotic_process	PERP;TP53AIP1;TP53I3
clusterset11	6.71	0.023618	extracellular_matrix_organization	MADCAM1;MATN4;SERPINE1
clusterset11	5.41	0.0038471	cell_adhesion	EPHA2;GPNMB;MADCAM1;MFGE8;PERP;TNFRSF12A
clusterset11	4.03	0.023618	apoptotic_process	EPHA2;GADD45B;PERP;TNFRSF12A;TP53AIP1
clusterset11	3.09	0.023618	multicellular_organism_development	AXL;EPHA2;GADD45B;LIF;TNFRSF12A;TSSK3
clusterset11	3.02	0.0387388	cell_differentiation	AXL;EPHA2;GADD45B;TNFRSF12A;TSSK3
clusterset11	2.95	0.0258866	positive_regulation_of_transcription_by_RNA_polymerase_II	ABHD14B;ATF3;IER5;LIF;SERPINE1;SERTAD1

clusterset12	20.75	0.00211432	positive_regulation_of_kinase_activity	ALK;EPHA5;EPHA6
clusterset12	12.21	0.00433088	transmembrane_receptor_protein_tyrosine_kinase_signaling_pathway	ALK;EPHA5;EPHA6
clusterset12	11.91	0.00433088	calcium_ion_transmembrane_transport	RYR2;SLC24A3;TRPM3
clusterset12	11.35	0.00433088	potassium_ion_transport	KCNIP1;KCNK13;SLC24A3
clusterset12	11.35	0.00433088	potassium_ion_transmembrane_transport	KCNIP1;KCNK13;SLC24A3
clusterset12	11.35	0.00433088	peptidyl-tyrosine_phosphorylation	ALK;EPHA5;EPHA6
clusterset12	11.09	0.00433088	calcium_ion_transport	RYR2;SLC24A3;TRPM3
clusterset12	11.05	0.000823499	axon_guidance	DSCAM;EPHA5;EPHA6;LRTM2;UNC5A
