clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	19.88	0.00840315	regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	CFLAR;FAS;TNFRSF10B
c1	13.83	0.0140679	positive_regulation_of_apoptotic_signaling_pathway	FAS;ING5;NGFR
c1	13.25	0.0143705	response_to_cadmium_ion	B2M;GSS;PCNA
c1	12.85	0.00835479	negative_regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	CFLAR;FAS;HMGB2;TNFRSF10B
c1	10.60	0.0212779	associative_learning	BTG2;CLN8;NPTX2
c1	9.64	0.0227593	protein_localization_to_nucleus	BANP;LMNA;MDM2
c1	9.64	0.0109634	lysosome_organization	CLN5;CLN8;GAA;GRN
c1	9.64	0.0227593	platelet_aggregation	CLIC1;HSPB1;RAP2B
c1	9.47	0.00835479	DNA_damage_response,_signal_transduction_by_p53_class_mediator_resulting_in_cell_cycle_arrest	BTG2;MDM2;PCNA;PIDD1;PLK2
c1	9.35	0.0233329	cellular_response_to_estradiol_stimulus	CFLAR;FAM210B;ZNF703
c1	8.16	0.0308108	extrinsic_apoptotic_signaling_pathway	FAS;KRT8;PIDD1
c1	7.95	0.00835479	activation_of_cysteine-type_endopeptidase_activity_involved_in_apoptotic_process	CFLAR;FAS;KHDC1;NGFR;PIDD1;TNFRSF10B
c1	7.44	0.0184714	negative_regulation_of_catalytic_activity	ANXA2;NES;TIMP1;TXNIP
c1	7.23	0.0409932	cellular_response_to_amino_acid_starvation	FAS;SESN2;SLC38A2
c1	6.77	0.0468311	establishment_or_maintenance_of_cell_polarity	CTNNA1;RHOC;RND3
c1	6.52	0.0227593	negative_regulation_of_neuron_projection_development	B2M;MDM2;NR2F1;VIM
c1	4.45	0.0195406	regulation_of_cell_cycle	CLIC1;GADD45G;JUN;JUNB;TARDBP;ZNF703
c1	4.39	0.0138103	positive_regulation_of_I-kappaB_kinase/NF-kappaB_signaling	CFLAR;EDA2R;PLK2;RBCK1;RHOC;TNFRSF10B;TRIM52
c1	3.44	0.00840315	positive_regulation_of_apoptotic_process	FAS;GADD45G;ING5;JUN;NGFR;PHLDA2;PIDD1;RBCK1;TNFRSF10B;TXNIP;ZMAT3
c1	3.42	0.0250539	regulation_of_apoptotic_process	CFLAR;FAS;PERP;PIDD1;TARDBP;TNFRSF10B;TP53I3
c1	2.91	0.00906271	negative_regulation_of_apoptotic_process	BTG2;CFLAR;CLN8;CTNNA1;FAS;HSPB1;MDM2;MPZ;NGFR;PIDD1;PLK2;TIMP1;YBX3

c2	44.02	0.00193729	positive_regulation_of_binding	ANXA2;RARA;S100A10
c2	22.01	0.00193729	negative_regulation_of_TORC1_signaling	ATM;FNIP1;SESN1;SESN2
c2	16.51	0.0199556	regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	CFLAR;FAS;TNFRSF10B
c2	10.67	0.0175307	negative_regulation_of_extrinsic_apoptotic_signaling_pathway_via_death_domain_receptors	CFLAR;FAS;HMGB2;TNFRSF10B
c2	10.56	0.0358542	intrinsic_apoptotic_signaling_pathway_by_p53_class_mediator	EDA2R;JMY;PERP
c2	9.11	0.0378756	regulation_of_transcription_involved_in_G1/S_transition_of_mitotic_cell_cycle	BACH1;PCNA;TYMS
c2	8.80	0.0378756	associative_learning	BTG2;CLN8;NPTX2
c2	8.00	0.035191	cellular_response_to_amino_acid_starvation	FAS;SESN1;SESN2;SLC38A2
