cluster	GOterm	FDR	fold_enrich	GeneIDs
clusterset367	regulation_of_transcription_by_RNA_polymerase_II	7.59934e-13	1.71703	AC092835.1;ALX1;ARNTL2;BATF2;BCL11B;CEBPA;CUX2;EBF3;ETV2;FHL2;FOXJ2;FOXO4;FOXO6;GMEB2;GRHL1;HLF;HNRNPK;HOPX;HOXB6;HOXD3;IRF5;LYL1;MAMLD1;MAMSTR;MED12L;MYCL;MYPOP;NFATC4;NFE2L3;NHLH1;NHLH2;NOP2;NPAS1;NR2E3;NR4A1;NRF1;NRL;OLIG2;OTX1;PBX4;POU2F2;POU5F2;POU6F2;PPARG;PPP1R13L;PRDM15;RELB;RFX1;RFX8;RHOXF1;SAP18;SCX;SOX13;SOX15;SRCAP;STAT4;STAT5A;SUB1;TCF15;TEAD4;TFAP4;TWIST2;UTF1;WNT10B;YY2;ZBTB12;ZBTB16;ZBTB2;ZBTB3;ZBTB49;ZFAT;ZFP2;ZFP41;ZFP69;ZGLP1;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF112;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF239;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF319;ZNF324B;ZNF343;ZNF350;ZNF354B;ZNF383;ZNF391;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF425;ZNF438;ZNF439;ZNF442;ZNF443;ZNF449;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF491;ZNF497;ZNF501;ZNF502;ZNF517;ZNF521;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF575;ZNF582;ZNF585B;ZNF586;ZNF589;ZNF594;ZNF595;ZNF596;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF619;ZNF628;ZNF630;ZNF658;ZNF66;ZNF665;ZNF674;ZNF69;ZNF691;ZNF696;ZNF699;ZNF70;ZNF700;ZNF707;ZNF709;ZNF713;ZNF726;ZNF749;ZNF75D;ZNF763;ZNF764;ZNF77;ZNF772;ZNF773;ZNF774;ZNF780A;ZNF782;ZNF783;ZNF784;ZNF786;ZNF79;ZNF792;ZNF799;ZNF808;ZNF81;ZNF823;ZNF829;ZNF835;ZNF841;ZNF845;ZNF852;ZNF879;ZSCAN20;ZSCAN22;ZSCAN25;ZSCAN31;ZSCAN32;ZXDA;ZXDB
clusterset367	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding	3.8782e-12	1.84118	AC092835.1;ARNTL2;BATF2;BCL11B;CEBPA;CUX2;EBF3;ETV2;FOXJ2;FOXO4;FOXO6;GMEB2;GRHL1;HLF;HOXB6;HOXD3;IRF5;LYL1;MYB;MYCL;MYPOP;NFATC4;NFE2L3;NHLH1;NHLH2;NR1H3;NR2E3;NR4A1;NRF1;NRL;OLIG2;OTX1;PBX4;POU2F2;POU5F2;POU6F2;PPARG;PRDM15;RARG;RELB;RFX1;RFX8;SCRT1;SCX;SOX13;SOX15;STAT4;STAT5A;SUB1;TCF15;TEAD4;TFAP4;YY2;ZBTB12;ZBTB16;ZBTB2;ZBTB3;ZBTB49;ZFAT;ZFP2;ZIK1;ZKSCAN3;ZKSCAN4;ZNF112;ZNF114;ZNF155;ZNF17;ZNF175;ZNF2;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF239;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF319;ZNF324B;ZNF350;ZNF354B;ZNF383;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF438;ZNF449;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF497;ZNF501;ZNF502;ZNF521;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF551;ZNF552;ZNF565;ZNF575;ZNF585B;ZNF586;ZNF594;ZNF595;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF628;ZNF630;ZNF658;ZNF66;ZNF665;ZNF691;ZNF699;ZNF707;ZNF713;ZNF726;ZNF75D;ZNF763;ZNF772;ZNF773;ZNF774;ZNF780A;ZNF782;ZNF783;ZNF784;ZNF786;ZNF792;ZNF808;ZNF81;ZNF829;ZNF835;ZNF841;ZNF845;ZNF852;ZNF879;ZSCAN20;ZSCAN22;ZSCAN25;ZSCAN31;ZSCAN32
clusterset367	regulation_of_transcription,_DNA-templated	6.00701e-12	1.73134	AC092835.1;ACTR5;ALX1;ARNTL2;BATF2;CEBPA;CUX2;DRAP1;EBF3;ERN2;ETV2;FOXJ2;FOXO4;FOXO6;HLF;HOXB6;HOXD3;IRF5;KRBA1;KRBA2;L3MBTL3;L3MBTL4;LPXN;LYL1;MN1;MYB;MYCL;NFATC4;NFE2L3;NPAS1;NR1H3;NR2E3;NR4A1;NRL;OLIG2;OTX1;PAK6;PBX4;PDE8A;POU2F2;POU5F2;POU6F1;POU6F2;PPARG;PPARGC1A;PPARGC1B;PRKCQ;RARG;RELB;RFX1;RFX8;RHOXF1;SAP25;SCRT1;SFMBT1;SOX13;SOX15;SPIN2A;SPIN4;STAT4;STAT5A;SUB1;SUMO1;TCERG1L;TEAD4;UBE2V1;ZBTB16;ZFAT;ZFP69;ZGLP1;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF112;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF324B;ZNF343;ZNF350;ZNF354B;ZNF383;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF425;ZNF439;ZNF442;ZNF443;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF502;ZNF517;ZNF525;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF582;ZNF585B;ZNF586;ZNF589;ZNF595;ZNF596;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF619;ZNF628;ZNF630;ZNF658;ZNF66;ZNF665;ZNF674;ZNF69;ZNF699;ZNF700;ZNF707;ZNF709;ZNF713;ZNF717;ZNF726;ZNF747;ZNF749;ZNF75D;ZNF763;ZNF764;ZNF77;ZNF772;ZNF773;ZNF780A;ZNF782;ZNF783;ZNF786;ZNF79;ZNF792;ZNF799;ZNF808;ZNF81;ZNF823;ZNF829;ZNF841;ZNF845;ZNF852;ZNF862;ZNF879;ZSCAN25;ZSCAN32
clusterset367	DNA-binding_transcription_factor_activity,_RNA_polymerase_II-specific	1.04996e-11	1.79871	AC092835.1;ALX1;ARNTL2;BATF2;CEBPA;CUX2;EBF3;ETV2;FOXJ2;FOXO4;FOXO6;GMEB2;GRHL1;HLF;HOPX;HOXB6;HOXD3;IRF5;LYL1;MYB;MYCL;MYPOP;NFATC4;NFE2L3;NHLH1;NHLH2;NPAS1;NR1H3;NR4A1;NRF1;NRL;OLIG2;OTX1;PBX4;POU2F2;POU5F2;POU6F2;PPARG;RARG;RELB;RFX1;RFX8;RHOXF1;SCRT1;SCX;SOX13;SOX15;STAT4;STAT5A;TCF15;TEAD4;TFAP4;TWIST2;YY2;ZBTB3;ZFAT;ZFP2;ZFP41;ZFP69;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF214;ZNF221;ZNF223;ZNF23;ZNF230;ZNF233;ZNF239;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF324B;ZNF343;ZNF354B;ZNF391;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF425;ZNF439;ZNF442;ZNF443;ZNF449;ZNF454;ZNF461;ZNF468;ZNF471;ZNF490;ZNF491;ZNF502;ZNF517;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF575;ZNF582;ZNF586;ZNF589;ZNF595;ZNF596;ZNF607;ZNF610;ZNF619;ZNF628;ZNF630;ZNF66;ZNF665;ZNF674;ZNF69;ZNF696;ZNF699;ZNF70;ZNF700;ZNF709;ZNF713;ZNF726;ZNF749;ZNF75D;ZNF764;ZNF77;ZNF772;ZNF773;ZNF774;ZNF780A;ZNF79;ZNF792;ZNF799;ZNF81;ZNF823;ZNF829;ZNF852;ZNF879;ZSCAN20;ZSCAN22;ZSCAN25;ZSCAN31;ZSCAN32
clusterset367	nucleic_acid_binding	1.40049e-11	1.87028	AARS2;AC092835.1;ARPP21;CSDC2;CSDE1;DBF4B;DHX37;DND1;EHD3;HFM1;HNRNPA1L2;HNRNPK;KHDRBS2;KRBA1;KRBA2;LIN28B;PABPC1L2A;PPARGC1A;PPARGC1B;RBM34;RPP25;TIGD2;TIGD3;TIGD7;U2AF1;U2AF1L5;USP6;YBX2;ZCCHC4;ZFP69;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF112;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF324B;ZNF343;ZNF350;ZNF354B;ZNF383;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF425;ZNF439;ZNF442;ZNF443;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF517;ZNF525;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF582;ZNF585B;ZNF586;ZNF589;ZNF595;ZNF596;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF619;ZNF630;ZNF658;ZNF66;ZNF665;ZNF674;ZNF69;ZNF699;ZNF700;ZNF707;ZNF709;ZNF713;ZNF717;ZNF726;ZNF747;ZNF749;ZNF75D;ZNF763;ZNF764;ZNF77;ZNF772;ZNF773;ZNF780A;ZNF782;ZNF783;ZNF786;ZNF79;ZNF792;ZNF799;ZNF808;ZNF81;ZNF823;ZNF829;ZNF841;ZNF845;ZNF852;ZNF862;ZNF879;ZSCAN25;ZSCAN32
clusterset367	ion_transport	1.46718e-06	1.83417	AL590132.1;ASIC3;ATP2A3;ATP2B2;ATP2B3;ATP2C2;ATP6V1E2;ATP6V1F;BEST1;BEST4;CACNA1D;CACNA1G;CACNA2D3;CACNB2;CALHM5;CHRNA5;CHRNA7;CHRNB2;CHRND;CLDN15;FXYD2;GABRA2;GABRB2;GABRR1;GLRA1;GPR89A;GPR89B;GRIA3;GRID1;GRID2;GRIK1;GRIN2B;GRIN2C;GRIN2D;HCN4;HVCN1;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNJ14;KCNJ2;KCNJ5;KCNK9;KCNMB3;KCNN2;KCNQ3;KCNS2;KCNT1;LHFPL5;LRRC8C;MELTF;NIPAL1;P2RX7;PANX2;PLLP;SCN11A;SCN1A;SCN2B;SLC10A5;SLC10A7;SLC13A3;SLC17A7;SLC1A2;SLC22A15;SLC22A23;SLC22A5;SLC26A1;SLC26A6;SLC30A8;SLC31A2;SLC36A1;SLC4A10;SLC4A5;SLC9A5;SLCO1A2;SLCO4A1;STEAP2;STEAP3;TF;TMC7;TMEM38A;TMEM63C;TPCN2;TRPV1
clusterset367	DNA_binding	9.91481e-06	1.39351	ALX1;ARNTL2;BATF2;BEND3;CEBPA;CRLF3;CTC1;CUX2;DFFB;DHX58;DNMT3B;DRAP1;EBF3;EME2;ERCC5;ETV2;FOXJ2;FOXO4;FOXO6;GMEB2;GRHL1;HLF;HMGN4;HNRNPK;HOPX;HOXB6;HOXD3;IRF5;LYL1;MEIOB;MYB;MYCL;MYPOP;NFATC4;NFE2L3;NHLH1;NHLH2;NOSTRIN;NPAS1;NR1H3;NR2E3;NR4A1;NRF1;NRL;OLIG2;OTX1;PBX4;POLR2J3;POU2F2;POU5F2;POU6F1;POU6F2;PPARG;PPARGC1A;PRDM10;PRDM12;PRDM15;RABGEF1;RAD52;RARG;RELB;RFX1;RFX8;RHOXF1;SCRT1;SCX;SOX13;SOX15;SRCAP;STAT4;STAT5A;SUB1;SYCP3;TAF4B;TCF15;TEAD4;TFAP4;TIGD2;TIGD3;TIGD7;TOP3B;TWIST2;YBX2;YY2;ZBTB12;ZBTB16;ZBTB2;ZBTB3;ZBTB49;ZFAT;ZFP2;ZFP41;ZFP69;ZGLP1;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF112;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF239;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF319;ZNF324B;ZNF343;ZNF350;ZNF354B;ZNF383;ZNF391;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF425;ZNF438;ZNF439;ZNF442;ZNF443;ZNF449;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF491;ZNF497;ZNF501;ZNF502;ZNF517;ZNF521;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF575;ZNF582;ZNF586;ZNF589;ZNF594;ZNF595;ZNF596;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF619;ZNF628;ZNF630;ZNF658;ZNF66;ZNF665;ZNF674;ZNF69;ZNF691;ZNF696;ZNF699;ZNF70;ZNF700;ZNF707;ZNF709;ZNF713;ZNF726;ZNF749;ZNF75D;ZNF763;ZNF764;ZNF77;ZNF772;ZNF773;ZNF774;ZNF780A;ZNF781;ZNF782;ZNF783;ZNF784;ZNF786;ZNF79;ZNF792;ZNF799;ZNF808;ZNF81;ZNF823;ZNF829;ZNF835;ZNF841;ZNF845;ZNF879;ZSCAN20;ZSCAN22;ZSCAN25;ZSCAN31;ZSCAN32
clusterset367	ion_channel_activity	0.000121725	2.45004	AL590132.1;CACNA1D;CACNA1G;CHRNA5;CHRNA7;CHRNB2;CHRND;GABRA2;GABRB2;GABRR1;GLRA1;GRIA3;GRID1;GRID2;GRIK1;GRIN2B;GRIN2C;GRIN2D;HCN4;HVCN1;KCNA2;KCNA4;KCNA5;KCND1;KCNH3;KCNH6;KCNH7;KCNQ3;KCNS2;P2RX7;SCN11A;SCN1A;TPCN2;TRPV1
clusterset367	metal_ion_binding	0.00046838	1.23251	AARS2;AC092835.1;AC098650.1;ACE;ADAM28;ADAMTS13;ADARB1;AGAP4;AGAP6;AGAP9;AL136295.5;AMY2B;ANGPT2;AOC2;ARHGAP45;ATP23;ATP2A3;ATP2B2;ATP2B3;ATP2C2;ATP8B3;B3GAT1;BCL11B;BRPF3;C2;CA5A;CABP1;CABP7;CACNA1D;CACNA2D3;CALN1;CAPN12;CAPN15;CDH24;CDH3;CIT;CLYBL;CPNE5;CPS1;CYB561D1;CYP11A1;CYP2D6;CYP3A5;CYP4A11;CYP7B1;DAGLA;DBF4B;DGKA;DHX58;DNAJA4;DNLZ;DNMT3B;DRD4;DRP2;DYSF;EBF3;EHD3;ENO3;ENTPD7;ERAP2;ERCC5;ERN1;ERN2;ESYT3;F8;FDX2;FHL2;GALNT6;GALNT8;GBGT1;GLCE;GLRA1;GMEB2;GRIN2B;HARBI1;HLA-DQB1;HPCAL4;HPDL;IDH3A;INO80B;INPP5B;ITGA2B;JADE2;JADE3;KCND1;KCNIP2;KDM1B;KDM4D;KDM8;KSR2;L3MBTL4;LIN28B;LMO2;LMO7;LNX2;LONRF3;LPXN;MAP3K5;MBLAC1;MDP1;MELTF;METAP1D;MID2;MMP28;MOCS1;MSS51;MT1F;NECAB1;NEURL1B;NKD2;NMRK1;NOCT;NPTX1;NPTXR;NR1H3;NR2E3;NR4A1;NT5DC3;NUDT13;NUDT17;OVCH1;P4HA3;PADI2;PCDHB6;PDE1B;PDE2A;PDE8A;PDP2;PDZRN4;PITPNM3;PLCH2;PLEKHF1;PLEKHM1;PPARG;PPM1M;PPM1N;PPP3R2;PRDM10;PRDM12;PRDM15;PRKCG;PRKCQ;PRKN;PTGIS;PVALB;QPCT;QPCTL;RABGEF1;RARG;RASGRP1;RASSF5;RBKS;RCN3;REPS2;RFPL2;RGN;RHOV;RNF122;RNF152;RNF227;RPS6KA1;RPS6KA6;RSAD2;SCRT1;SH3RF3;SIRT4;SLC1A2;STAC3;STEAP2;STEAP3;SUOX;SYT9;TATDN2;TF;TNNC1;TRIM14;TRIM35;TRIM4;TRIM62;TRIM7;TRIM71;TRMT44;TRPV1;TTN;TYW1B;U2AF1;U2AF1L5;UBOX5;USP21;USP44;VAV3;VSNL1;XDH;YY2;ZBTB12;ZBTB16;ZBTB2;ZBTB3;ZBTB49;ZC3H12B;ZCCHC4;ZCWPW1;ZFAND4;ZFAT;ZFP2;ZFP41;ZFP69;ZFYVE26;ZFYVE28;ZGLP1;ZIK1;ZKSCAN3;ZKSCAN4;ZNF101;ZNF112;ZNF114;ZNF14;ZNF155;ZNF169;ZNF17;ZNF175;ZNF180;ZNF2;ZNF20;ZNF202;ZNF211;ZNF212;ZNF214;ZNF221;ZNF223;ZNF225;ZNF229;ZNF23;ZNF230;ZNF233;ZNF239;ZNF256;ZNF284;ZNF285;ZNF287;ZNF304;ZNF317;ZNF319;ZNF324B;ZNF343;ZNF350;ZNF354B;ZNF383;ZNF391;ZNF404;ZNF41;ZNF416;ZNF417;ZNF418;ZNF423;ZNF425;ZNF428;ZNF438;ZNF439;ZNF442;ZNF443;ZNF449;ZNF454;ZNF461;ZNF468;ZNF471;ZNF485;ZNF490;ZNF491;ZNF497;ZNF501;ZNF502;ZNF517;ZNF521;ZNF525;ZNF527;ZNF528;ZNF543;ZNF546;ZNF547;ZNF550;ZNF551;ZNF552;ZNF565;ZNF57;ZNF575;ZNF582;ZNF585B;ZNF586;ZNF589;ZNF594;ZNF595;ZNF596;ZNF597;ZNF607;ZNF610;ZNF613;ZNF615;ZNF619;ZNF628;ZNF630;ZNF658;ZNF66;ZNF665;ZNF674;ZNF69;ZNF691;ZNF696;ZNF699;ZNF70;ZNF700;ZNF707;ZNF709;ZNF713;ZNF717;ZNF726;ZNF747;ZNF749;ZNF75D;ZNF763;ZNF764;ZNF77;ZNF772;ZNF773;ZNF774;ZNF780A;ZNF781;ZNF782;ZNF784;ZNF786;ZNF79;ZNF792;ZNF799;ZNF808;ZNF81;ZNF823;ZNF829;ZNF835;ZNF841;ZNF843;ZNF845;ZNF852;ZNF862;ZNF879;ZSCAN20;ZSCAN22;ZSCAN25;ZSCAN31;ZSCAN32;ZSWIM1;ZSWIM3;ZXDA;ZXDB
clusterset367	voltage-gated_ion_channel_activity	0.000805655	2.46276	CACNA1D;CACNA1G;CACNA2D3;CACNB2;GPR89A;GPR89B;HCN4;HVCN1;KCNA2;KCNA4;KCNA5;KCNAB2;KCNAB3;KCND1;KCNE1;KCNH3;KCNH6;KCNH7;KCNIP2;KCNJ14;KCNJ2;KCNJ5;KCNQ3;KCNS2;SCN11A;SCN1A;SCN2B;TPCN2
