clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset22	42.47	2.23355e-07	positive_regulation_of_establishment_of_protein_localization_to_telomere	CCT3;CCT5;CCT6A;CCT7;TCP1
clusterset22	38.61	3.57874e-07	positive_regulation_of_protein_localization_to_Cajal_body	CCT3;CCT5;CCT6A;CCT7;TCP1
clusterset22	38.22	3.61669e-12	mitochondrial_ATP_synthesis_coupled_proton_transport	ATP5F1B;ATP5F1C;ATP5F1D;ATP5MC2;ATP5MF;ATP5PB;ATP5PO;COX5B;STOML2
clusterset22	30.89	4.72274e-10	proteasomal_ubiquitin-independent_protein_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6
clusterset22	28.31	9.48935e-19	regulation_of_cellular_amino_acid_metabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	28.31	2.17505e-06	positive_regulation_of_telomerase_RNA_localization_to_Cajal_body	CCT3;CCT5;CCT6A;CCT7;TCP1
clusterset22	27.18	1.48816e-09	oxidative_phosphorylation	ATP5F1C;ATP5F1D;COX5A;COX5B;COX6B1;COX8A;UQCRB;UQCRC2
clusterset22	26.14	3.89572e-05	mitochondrial_electron_transport,_ubiquinol_to_cytochrome_c	UQCR11;UQCRB;UQCRC2;UQCRFS1
clusterset22	25.79	2.99357e-18	negative_regulation_of_G2/M_transition_of_mitotic_cell_cycle	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	25.48	3.26317e-07	ATP_synthesis_coupled_proton_transport	ATP5F1B;ATP5F1C;ATP5F1D;ATP5MC2;ATP5PB;ATP5PO
clusterset22	25.48	0.000464813	protein_deneddylation	COPS4;COPS5;COPS6
clusterset22	23.67	7.79752e-18	NIK/NF-kappaB_signaling	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	22.21	2.08497e-17	regulation_of_hematopoietic_stem_cell_differentiation	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	21.53	5.82339e-18	regulation_of_transcription_from_RNA_polymerase_II_promoter_in_response_to_hypoxia	ELOC;PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	21.23	0.000805897	cellular_response_to_interleukin-7	ATP5F1B;HMGB1;HSPD1
clusterset22	20.50	1.56466e-07	cristae_formation	ATP5F1B;ATP5F1C;ATP5F1D;ATP5MC2;ATP5MF;ATP5PB;ATP5PO
clusterset22	20.50	1.56466e-07	ATP_biosynthetic_process	ATP5F1B;ATP5F1C;ATP5F1D;ATP5MC2;ATP5MF;ATP5PB;ATP5PO
clusterset22	20.34	9.07079e-17	antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_MHC_class_I,_TAP-dependent	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	18.28	5.53547e-16	regulation_of_mitotic_cell_cycle_phase_transition	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	17.88	0.000174333	mitochondrial_electron_transport,_cytochrome_c_to_oxygen	COX5A;COX5B;COX6B1;COX8A
clusterset22	17.83	7.36244e-16	anaphase-promoting_complex-dependent_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	16.41	2.7154e-15	Wnt_signaling_pathway,_planar_cell_polarity_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	16.04	3.68705e-15	SCF-dependent_proteasomal_ubiquitin-dependent_protein_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	15.87	4.11462e-15	interleukin-1-mediated_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	15.53	5.58759e-15	stimulatory_C-type_lectin_receptor_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	14.77	2.34714e-07	proteolysis_involved_in_cellular_protein_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6
clusterset22	14.28	7.36244e-16	regulation_of_mRNA_stability	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1;SERBP1;YWHAZ
clusterset22	14.16	7.11707e-05	translational_elongation	EEF1B2;EIF5A;ELOC;RPLP1;TUFM
clusterset22	14.16	3.22323e-07	mitochondrial_electron_transport,_NADH_to_ubiquinone	NDUFA12;NDUFA2;NDUFB10;NDUFB11;NDUFS3;NDUFS5;NDUFS8;NDUFV2
clusterset22	13.70	8.21863e-05	aerobic_respiration	ATP5F1D;NDUFS8;SDHC;UQCRB;UQCRC2
clusterset22	13.62	5.15218e-14	Fc-epsilon_receptor_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	13.49	5.65974e-14	tumor_necrosis_factor-mediated_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	13.41	0.00295121	nuclear-transcribed_mRNA_catabolic_process	DDX5;LSM1;LSM7
clusterset22	13.41	0.00295121	mitochondrion_morphogenesis	FIS1;MFF;SSBP1
clusterset22	13.41	0.00295121	protein_refolding	CCT7;FKBP1A;HSPD1
clusterset22	12.49	0.000127966	positive_regulation_of_telomere_maintenance_via_telomerase	CCT3;CCT5;CCT6A;CCT7;TCP1
clusterset22	11.08	0.00473713	nucleotide-excision_repair,_DNA_damage_recognition	COPS4;COPS5;COPS6
clusterset22	10.62	0.00122681	binding_of_sperm_to_zona_pellucida	CCT3;CCT5;CCT7;TCP1
clusterset22	10.54	6.56707e-13	T_cell_receptor_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1;STOML2
clusterset22	10.31	4.0872e-12	positive_regulation_of_canonical_Wnt_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	10.14	3.88122e-06	mitochondrial_respiratory_chain_complex_I_assembly	NDUFA12;NDUFA2;NDUFB10;NDUFB11;NDUFS3;NDUFS5;NDUFS8;NDUFV2
clusterset22	10.11	0.0003404	substantia_nigra_development	ATP5PB;CALM2;CALM3;COX6B1;NDUFS3
clusterset22	9.71	0.00170695	toxin_transport	CCT3;CCT5;CCT7;TCP1
clusterset22	9.10	0.00802879	positive_regulation_of_DNA_binding	CALM2;CALM3;HMGB1
clusterset22	8.97	2.42769e-12	proteasome-mediated_ubiquitin-dependent_protein_catabolic_process	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1;STUB1;UBE2D3
clusterset22	8.69	3.18854e-06	mitochondrial_translational_elongation	AURKAIP1;MRPL20;MRPL44;MRPL51;MRPS18C;MRPS21;MRPS23;MRPS26;TUFM
clusterset22	8.54	7.79281e-11	negative_regulation_of_canonical_Wnt_signaling_pathway	PSMA1;PSMA3;PSMA4;PSMA5;PSMB2;PSMB3;PSMB5;PSMB6;PSMC1;PSMC5;PSMC6;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;SEM1
clusterset22	8.49	0.00964103	positive_regulation_of_protein_targeting_to_mitochondrion	UBE2D3;UBE2L3;UBL5
clusterset22	8.49	0.00279644	cytoplasmic_translation	RPL26L1;RPLP1;RPS26;TMA7
clusterset22	8.22	0.0104337	protein_targeting_to_mitochondrion	FIS1;MFF;TOMM22
clusterset22	7.90	0.00343339	positive_regulation_of_cysteine-type_endopeptidase_activity_involved_in_apoptotic_process	FIS1;HMGB1;PDCD5;PDCD6
clusterset22	7.72	0.0122762	exonucleolytic_catabolism_of_deadenylated_mRNA	LSM1;LSM7;NT5C3B
clusterset22	7.63	3.2066e-05	mitochondrial_translational_termination	AURKAIP1;MRPL20;MRPL44;MRPL51;MRPS18C;MRPS21;MRPS23;MRPS26
