clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
c1	37.67	0.00066744	regulation_of_respiratory_gaseous_exchange_by_nervous_system_process	NLGN1;PBX3;TSHZ3
c1	28.26	0.00138877	neuron_cell-cell_adhesion	CNTN4;NLGN1;NRXN3
c1	17.39	0.00335199	positive_regulation_of_synaptic_transmission,_glutamatergic	CACNG4;NLGN1;TSHZ3
c1	17.12	0.000286118	embryonic_skeletal_system_morphogenesis	CHST11;HOXA3;HOXA4;HOXB2;HOXB4
c1	15.59	0.00425656	respiratory_gaseous_exchange_by_respiratory_system	CHST11;MAFB;PBX3
c1	15.07	0.000360646	neurogenesis	CXCR4;LHX2;NAV2;PRDM6;RARB
c1	12.56	0.00226221	inner_ear_morphogenesis	ATP8A2;INSIG1;MAFB;ZIC1
c1	11.90	0.00705939	thymus_development	HOXA3;MAFB;PBX1
c1	11.90	0.00705939	eye_development	MEIS2;PBX1;PBX3
c1	11.47	0.000139809	anterior/posterior_pattern_specification	CTNNBIP1;HOXA3;HOXA4;HOXB2;HOXB4;HOXC5;PBX1
c1	10.51	0.00896291	skin_development	ATP8A2;DHCR24;JUP
c1	10.22	0.00335199	neuron_development	ATP8A2;HS6ST1;PBX1;PBX3
c1	10.05	0.00967058	long-term_synaptic_potentiation	NLGN1;SNCA;TSHZ3
c1	7.41	0.0215914	calcium-mediated_signaling	CAMKK2;CXCR4;SAMD14
c1	5.95	0.0314239	modulation_of_chemical_synaptic_transmission	GRIK1;NLGN1;PTPRD
c1	5.45	0.000560787	brain_development	ATXN1;CNTN4;CTTNBP2;CXCR4;LHX2;MEIS2;PBX1;PBX3;ZIC1
c1	5.45	0.038206	regulation_of_immune_response	HLA-A;NECTIN2;PTPRD
c1	5.32	0.039178	cholesterol_metabolic_process	DHCR24;INSIG1;PIP4P1
c1	4.60	0.0285681	neuron_projection_development	ATP8A2;CNTN4;NLGN1;SAMD14
c1	4.47	0.0302533	animal_organ_morphogenesis	HOXA3;MEIS2;PBX1;PBX3
c1	3.54	0.0314239	axon_guidance	CNTN4;CXCR4;LHX2;NRXN3;PTPRO
c1	3.23	0.00335199	nervous_system_development	ATXN1;CNTN4;GRIK1;LHX2;METRN;MYT1;NAV2;NLGN1;ST8SIA2;ZIC1;ZSWIM6
c1	2.59	0.00266047	multicellular_organism_development	CHST2;EVX1;GADD45G;HOXA3;HOXA4;HOXB2;HOXB4;HOXC5;MEIS2;METRN;MYT1;PBX1;QKI;TSHZ2;TSHZ3;ZIC1
c1	2.54	0.0234804	cell_adhesion	AJAP1;CD47;CNTN4;ITGAE;JUP;LGALS3BP;NECTIN2;NLGN1;NRXN3
c1	2.31	0.00705939	positive_regulation_of_transcription_by_RNA_polymerase_II	AUTS2;BCL11A;CTBP2;EVX1;HOXB2;HOXB4;JUP;KLF6;LHX2;MAFB;MEIS2;ONECUT3;PBX1;PBX3;RARB
c1	2.09	0.00873396	regulation_of_transcription,_DNA-templated	ATXN1;EVX1;HOXA1;HOXA3;HOXA4;HOXB2;HOXB4;HOXC5;LHX2;MAFB;MEIS2;MYT1;PBX1;PBX3;RARB;TLE4;ZNF703
