clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset38	231.64	6.33255e-07	respiratory_electron_transport_chain	MT-CO1;MT-CO3;MT-CYB
clusterset38	207.26	6.33255e-07	mitochondrial_electron_transport,_cytochrome_c_to_oxygen	MT-CO1;MT-CO2;MT-CO3
clusterset38	38.23	7.44015e-05	proton_transmembrane_transport	MT-CO1;MT-CO2;MT-CO3
clusterset38	6.17	0.0108583	oxidation-reduction_process	MT-CO1;MT-CO2;MT-CYB

clusterset39	6.01	0.00468383	viral_process	DYNLT1;EIF4A2;HNRNPA2B1;PSMA3;XRCC5
clusterset39	5.09	0.0141292	nervous_system_development	DYNLT1;EVL;SCRG1;TUBB2B
clusterset39	4.89	0.0298905	neutrophil_degranulation	CD36;DYNLT1;XRCC5

clusterset40

clusterset45

clusterset48	37.67	0.000184835	mature_ribosome_assembly	C1QBP;EIF6;SBDS
clusterset48	31.39	2.25783e-06	positive_regulation_of_establishment_of_protein_localization_to_telomere	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	28.54	3.61254e-06	positive_regulation_of_protein_localization_to_Cajal_body	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	26.16	5.25404e-06	proteasome_assembly	ADRM1;POMP;PSMD13;PSMD4;PSMG2
clusterset48	20.93	1.59643e-05	positive_regulation_of_telomerase_RNA_localization_to_Cajal_body	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	18.83	3.95881e-06	mitochondrial_ATP_synthesis_coupled_proton_transport	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PB;ATP5PO;COX5B
clusterset48	15.69	6.61927e-05	ATP_synthesis_coupled_proton_transport	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PB;ATP5PO
clusterset48	15.37	6.77612e-10	regulation_of_cellular_amino_acid_metabolic_process	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	14.95	8.33728e-05	proteasomal_ubiquitin-independent_protein_catabolic_process	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6
clusterset48	14.49	1.61044e-05	oxidative_phosphorylation	ATP5F1C;COX5A;COX5B;COX6B1;UQCRB;UQCRC2
clusterset48	14.49	0.00353908	mitochondrial_electron_transport,_ubiquinol_to_cytochrome_c	UQCRB;UQCRC2;UQCRFS1
clusterset48	13.95	1.17422e-09	negative_regulation_of_G2/M_transition_of_mitotic_cell_cycle	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	13.60	6.77612e-10	NIK/NF-kappaB_signaling	PPP4C;PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	12.99	2.9108e-05	cristae_formation	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PB;ATP5PO;IMMT
clusterset48	12.99	2.9108e-05	ATP_biosynthetic_process	ATP5F1B;ATP5F1C;ATP5MC3;ATP5PB;ATP5PO;DGUOK
clusterset48	12.56	1.00312e-09	regulation_of_hematopoietic_stem_cell_differentiation	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;YTHDF2
clusterset48	12.56	6.77612e-10	regulation_of_transcription_from_RNA_polymerase_II_promoter_in_response_to_hypoxia	ELOC;PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;UBA52
clusterset48	11.77	6.80605e-07	mitochondrial_electron_transport,_NADH_to_ubiquinone	NDUFA10;NDUFA12;NDUFA8;NDUFB10;NDUFB3;NDUFB8;NDUFS3;NDUFS6;NDUFS8
clusterset48	11.77	0.00611269	inner_mitochondrial_membrane_organization	IMMT;MTX2;TMEM11
clusterset48	11.08	0.00721153	positive_regulation_of_translational_initiation	CDC123;KHDRBS1;YTHDF2
clusterset48	10.99	1.00312e-09	anaphase-promoting_complex-dependent_catabolic_process	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;RNF7;UBA52
clusterset48	10.61	2.30187e-08	antigen_processing_and_presentation_of_exogenous_peptide_antigen_via_MHC_class_I,_TAP-dependent	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	10.46	0.000445244	binding_of_sperm_to_zona_pellucida	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	10.46	0.00841031	negative_regulation_of_amyloid-beta_formation	HAP1;NTRK2;PIN1
clusterset48	10.13	0.000511842	aerobic_respiration	MDH2;NDUFS8;SDHC;UQCRB;UQCRC2
clusterset48	9.91	0.00955239	positive_regulation_of_ubiquitin-protein_transferase_activity	PIN1;STUB1;UBE2L3
clusterset48	9.91	0.00955239	mitochondrial_electron_transport,_cytochrome_c_to_oxygen	COX5A;COX5B;COX6B1
clusterset48	9.54	6.73371e-08	regulation_of_mitotic_cell_cycle_phase_transition	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	9.42	0.0109309	viral_budding_via_host_ESCRT_complex	CHMP2A;TSG101;VPS28
clusterset48	9.23	0.000770429	positive_regulation_of_telomere_maintenance_via_telomerase	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	8.87	4.11563e-08	interleukin-1-mediated_signaling_pathway	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;UBA52
clusterset48	8.66	1.91106e-07	Wnt_signaling_pathway,_planar_cell_polarity_pathway	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	8.56	5.55975e-09	tumor_necrosis_factor-mediated_signaling_pathway	KRT18;PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;TNFRSF12A;TNFRSF9
clusterset48	8.48	0.00111153	toxin_transport	CCT3;CCT4;CCT5;CCT7;TCP1
clusterset48	8.46	2.29564e-07	SCF-dependent_proteasomal_ubiquitin-dependent_protein_catabolic_process	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	8.43	7.14878e-06	mitochondrial_respiratory_chain_complex_I_assembly	NDUFA10;NDUFA12;NDUFA8;NDUFB10;NDUFB3;NDUFB8;NDUFS3;NDUFS6;NDUFS8
clusterset48	8.41	6.3144e-09	regulation_of_mRNA_stability	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7;UBA52;YTHDF2;YWHAZ
clusterset48	8.37	0.00417579	viral_life_cycle	CHMP2A;TSG101;UBA52;VPS28
clusterset48	8.37	0.00417579	multivesicular_body_assembly	CHMP2A;RAB11A;TSG101;VPS28
clusterset48	8.19	0.0156502	nucleotide-excision_repair,_DNA_damage_recognition	COPS5;COPS8;UBA52
clusterset48	8.01	3.99812e-07	stimulatory_C-type_lectin_receptor_signaling_pathway	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	7.11	1.36272e-06	Fc-epsilon_receptor_signaling_pathway	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6;PSMC5;PSMD13;PSMD2;PSMD3;PSMD4;PSMD6;PSMD7
clusterset48	6.82	0.00286776	proteolysis_involved_in_cellular_protein_catabolic_process	PSMA1;PSMA4;PSMB2;PSMB5;PSMB6
clusterset48	6.49	0.0292232	protein_monoubiquitination	TSG101;UBE2D3;UBE2R2
clusterset48	6.28	0.031178	translational_elongation	EIF5A;ELOC;RPLP1
