cluster	GOterm	FDR	fold_enrich	GeneIDs
clusterset25	structural_constituent_of_ribosome	4.24669e-34	20.6093	MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS25;MRPS7;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RSL24D1
clusterset25	ribosome	1.4641e-32	17.3439	CHCHD1;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS25;MRPS7;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RSL24D1
clusterset25	translation	8.80292e-32	13.2488	EEF2;EIF3G;EIF3K;EIF3L;EIF3M;EIF4E;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS7;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RSL24D1
clusterset25	SRP-dependent_cotranslational_protein_targeting_to_membrane	7.34092e-31	28.939	RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;SRP72;SRP9
clusterset25	translational_initiation	2.76878e-29	20.1531	EIF3G;EIF3K;EIF3L;EIF3M;EIF4E;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	nuclear-transcribed_mRNA_catabolic_process,_nonsense-mediated_decay	8.25242e-26	21.0185	NCBP2;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	viral_transcription	2.54508e-25	21.8788	RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	cytosolic_large_ribosomal_subunit	4.54987e-21	30.6616	RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RSL24D1
clusterset25	RNA_binding	5.73146e-19	3.85824	BTF3;C1D;CCDC124;CHCHD1;EEF2;EIF3G;EIF3K;EIF3L;EIF4E;FKBP3;GDI2;GOT2;HNRNPA0;ILF2;MKRN1;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPS7;NCBP2;NELFE;NONO;NOP10;PCBP2;RBM3;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RSL24D1;RTCA;SLC25A11;SRP72;SRP9;STAU1
clusterset25	cytosol	1.77266e-10	1.84797	ARL2;BTF3;CAPZA2;CAPZB;CCDC124;CDK16;CHCHD1;CMPK1;COA1;COPS2;COPS4;COPS6;CRMP1;DCTN2;DYNC1I2;DYNC1LI2;EEF2;EIF3G;EIF3K;EIF3L;EIF3M;EIF4E;FKBP8;GDI1;GDI2;GNB2;HIKESHI;MALSU1;MKRN1;MPG;MRPL28;MYL6;NCBP2;NDUFV1;NT5C3B;PAPSS1;PCBP2;PFKM;PPP1CA;PPP6C;PSMA2;PSMC3;PSMC4;PSMD14;RAB1A;RAB7A;RHEB;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RUVBL2;SCP2;SNF8;SOD1;SPG21;SRP72;SRP9;STARD3NL;STAU1;TBCB;TRAPPC3;TXNDC9;TXNL4A;UCHL1;VPS25;VPS26B;VPS4A;WIPI2;YWHAB;YWHAQ
