clusterset_ID	fc(observed/expected)	p-value	GO_term	gene_IDs
clusterset20

clusterset25	54.78	0.000129499	mitochondrial_acetyl-CoA_biosynthetic_process_from_pyruvate	DLD;MPC2;PDHA1
clusterset25	34.24	0.000528897	box_C/D_snoRNP_assembly	PIH1D1;RUVBL2;TAF9
clusterset25	27.70	1.95698e-30	SRP-dependent_cotranslational_protein_targeting_to_membrane	RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;SRP72;SRP9
clusterset25	27.39	0.000991288	protein_deneddylation	COPS2;COPS4;COPS6
clusterset25	26.08	0.000129499	ribosomal_small_subunit_assembly	MRPS7;RPS14;RPS15;RPS5
clusterset25	22.82	0.000198393	formation_of_cytoplasmic_translation_initiation_complex	EIF3G;EIF3K;EIF3L;EIF3M
clusterset25	22.82	3.65295e-06	ribosomal_large_subunit_assembly	RPL10;RPL11;RPL3;RPL5;RPL6;RSL24D1
clusterset25	21.48	0.00024008	cytoplasmic_translational_initiation	EIF3G;EIF3K;EIF3L;EIF3M
clusterset25	20.94	4.38526e-25	viral_transcription	RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	20.12	1.57628e-25	nuclear-transcribed_mRNA_catabolic_process,_nonsense-mediated_decay	NCBP2;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	19.56	0.00262036	positive_regulation_of_exosomal_secretion	RAB7A;SNF8;VPS4A
clusterset25	19.29	6.73879e-29	translational_initiation	EIF3G;EIF3K;EIF3L;EIF3M;EIF4E;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9
clusterset25	15.98	3.97484e-06	cytoplasmic_translation	RPL10A;RPL11;RPL19;RPL26L1;RPL38;RPL6;RPS23
clusterset25	15.74	0.000133403	ribosomal_large_subunit_biogenesis	MALSU1;RPL11;RPL14;RPL26L1;RPL5
clusterset25	14.42	0.00582668	protein_targeting_to_lysosome	NCOA4;RAB7A;VPS4A
clusterset25	12.68	5.1874e-31	translation	EEF2;EIF3G;EIF3K;EIF3L;EIF3M;EIF4E;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS7;RPL10;RPL10A;RPL11;RPL13;RPL13A;RPL14;RPL19;RPL26L1;RPL28;RPL3;RPL37;RPL37A;RPL38;RPL5;RPL6;RPL7A;RPLP2;RPS13;RPS14;RPS15;RPS16;RPS23;RPS24;RPS3;RPS5;RPS9;RSL24D1
clusterset25	12.45	0.00866319	ribosomal_small_subunit_biogenesis	RPS15;RPS16;RPS24
clusterset25	11.91	0.00948779	nucleotide-excision_repair,_DNA_damage_recognition	COPS2;COPS4;COPS6
clusterset25	10.53	0.0123409	phagosome_acidification	ATP6V0B;ATP6V0D1;RAB7A
clusterset25	9.34	7.37659e-06	mitochondrial_translational_elongation	CHCHD1;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS25;MRPS7
clusterset25	9.23	7.37659e-06	mitochondrial_translational_termination	CHCHD1;MRPL14;MRPL22;MRPL27;MRPL28;MRPL32;MRPL34;MRPS25;MRPS7
clusterset25	9.13	0.0155803	translational_elongation	EEF2;ELOF1;RPLP2
clusterset25	9.13	0.0155803	multivesicular_body_assembly	SNF8;VPS25;VPS4A
clusterset25	7.72	0.000897527	regulation_of_macroautophagy	ATP6V0B;ATP6V0D1;LAMTOR1;RHEB;UCHL1;VPS26B
clusterset25	7.30	0.0101235	regulation_of_cellular_amino_acid_metabolic_process	PSMA2;PSMC3;PSMC4;PSMD14
clusterset25	7.02	0.0262746	mitotic_metaphase_plate_congression	BOD1;DCTN2;VPS4A
clusterset25	6.64	0.0124556	negative_regulation_of_G2/M_transition_of_mitotic_cell_cycle	PSMA2;PSMC3;PSMC4;PSMD14
clusterset25	6.37	0.0306352	protein_targeting	RPL11;YWHAB;YWHAQ
clusterset25	6.37	0.0306352	substantia_nigra_development	CALM3;INA;YWHAQ
